,Trump,Donald Trump,President of USA,Close,DateTime
0,21.0,4.0,0.0,105.23,2019-12-02 11:00:00
1,26.0,5.0,0.0,105.0,2019-12-02 12:00:00
2,29.0,6.0,0.0,105.0,2019-12-02 13:00:00
3,32.0,7.0,0.0,104.17,2019-12-02 14:00:00
4,35.0,7.0,0.0,104.24,2019-12-02 15:00:00
5,38.0,7.0,0.0,104.49,2019-12-02 16:00:00
6,40.0,8.0,0.0,104.33,2019-12-02 17:00:00
7,41.0,8.0,0.0,104.51,2019-12-02 18:00:00
8,43.0,9.0,0.0,104.615,2019-12-02 19:00:00
9,46.0,9.0,0.0,104.475,2019-12-02 20:00:00
10,49.0,9.0,0.0,105.0,2019-12-02 21:00:00
11,63.0,11.0,0.0,105.0,2019-12-02 22:00:00
12,59.0,11.0,0.0,105.0,2019-12-02 23:00:00
13,53.0,10.0,0.0,105.0,2019-12-03 00:00:00
14,29.0,5.0,0.0,104.895,2019-12-03 11:00:00
15,33.0,6.0,0.0,104.895,2019-12-03 12:00:00
16,35.0,7.0,0.0,104.895,2019-12-03 13:00:00
17,39.0,7.0,0.0,104.325,2019-12-03 14:00:00
18,42.0,8.0,0.0,104.365,2019-12-03 15:00:00
19,44.0,8.0,0.0,104.225,2019-12-03 16:00:00
20,46.0,9.0,0.0,104.19,2019-12-03 17:00:00
21,50.0,10.0,0.0,104.495,2019-12-03 18:00:00
22,55.0,10.0,0.0,104.545,2019-12-03 19:00:00
23,59.0,11.0,0.0,104.495,2019-12-03 20:00:00
24,58.0,10.0,0.0,105.0,2019-12-03 21:00:00
25,63.0,12.0,0.0,105.0,2019-12-03 22:00:00
26,67.0,13.0,0.0,105.0,2019-12-03 23:00:00
27,66.0,12.0,0.0,105.0,2019-12-04 00:00:00
28,33.0,6.0,0.0,105.095,2019-12-04 11:00:00
29,39.0,7.0,0.0,105.0,2019-12-04 12:00:00
30,46.0,8.0,0.0,105.0,2019-12-04 13:00:00
31,54.0,9.0,0.0,105.185,2019-12-04 14:00:00
32,59.0,10.0,0.0,105.105,2019-12-04 15:00:00
33,63.0,11.0,0.0,105.1,2019-12-04 16:00:00
34,67.0,12.0,0.0,105.25,2019-12-04 17:00:00
35,69.0,12.0,0.0,105.355,2019-12-04 18:00:00
36,70.0,12.0,0.0,105.415,2019-12-04 19:00:00
37,67.0,11.0,0.0,105.205,2019-12-04 20:00:00
38,74.0,12.0,0.0,107.605,2019-12-04 21:00:00
39,96.0,14.0,0.0,107.605,2019-12-04 22:00:00
40,100.0,15.0,0.0,107.605,2019-12-04 23:00:00
41,92.0,14.0,0.0,105.17,2019-12-05 00:00:00
42,26.0,5.0,0.0,200.0,2019-12-05 09:00:00
43,28.0,5.0,0.0,200.0,2019-12-05 10:00:00
44,34.0,6.0,0.0,105.49,2019-12-05 11:00:00
45,41.0,7.0,0.0,105.0,2019-12-05 12:00:00
46,45.0,8.0,0.0,105.0,2019-12-05 13:00:00
47,64.0,11.0,0.0,105.18,2019-12-05 14:00:00
48,62.0,11.0,0.0,105.1,2019-12-05 15:00:00
49,61.0,11.0,0.0,104.485,2019-12-05 16:00:00
50,63.0,12.0,0.0,104.435,2019-12-05 17:00:00
51,65.0,12.0,0.0,104.585,2019-12-05 18:00:00
52,64.0,12.0,0.0,104.555,2019-12-05 19:00:00
53,64.0,12.0,0.0,104.68,2019-12-05 20:00:00
54,68.0,12.0,0.0,104.96,2019-12-05 21:00:00
55,74.0,14.0,0.0,104.96,2019-12-05 22:00:00
56,76.0,14.0,0.0,104.96,2019-12-05 23:00:00
57,75.0,14.0,0.0,104.96,2019-12-06 00:00:00
58,23.0,4.0,0.0,200.0,2019-12-06 09:00:00
59,24.0,5.0,0.0,200.0,2019-12-06 10:00:00
60,29.0,6.0,0.0,105.15,2019-12-06 11:00:00
61,36.0,7.0,0.0,105.0,2019-12-06 12:00:00
62,40.0,8.0,0.0,107.345,2019-12-06 13:00:00
63,41.0,8.0,0.0,105.05,2019-12-06 14:00:00
64,42.0,8.0,0.0,105.015,2019-12-06 15:00:00
65,45.0,9.0,0.0,105.305,2019-12-06 16:00:00
66,47.0,9.0,0.0,105.42,2019-12-06 17:00:00
67,49.0,10.0,0.0,105.455,2019-12-06 18:00:00
68,50.0,10.0,0.0,105.475,2019-12-06 19:00:00
69,52.0,10.0,0.0,105.28,2019-12-06 20:00:00
70,56.0,11.0,0.0,105.0,2019-12-06 21:00:00
71,59.0,11.0,0.0,105.0,2019-12-06 22:00:00
72,62.0,12.0,0.0,105.0,2019-12-06 23:00:00
73,61.0,11.0,0.0,105.0,2019-12-07 00:00:00
74,24.0,5.0,0.0,105.3,2019-12-09 11:00:00
75,29.0,6.0,0.0,105.0,2019-12-09 12:00:00
76,34.0,7.0,0.0,104.915,2019-12-09 13:00:00
77,41.0,8.0,0.0,104.73,2019-12-09 14:00:00
78,44.0,9.0,0.0,104.5,2019-12-09 15:00:00
79,46.0,9.0,0.0,104.455,2019-12-09 16:00:00
80,49.0,10.0,0.0,104.495,2019-12-09 17:00:00
81,53.0,11.0,0.0,104.53,2019-12-09 18:00:00
82,55.0,11.0,0.0,104.585,2019-12-09 19:00:00
83,57.0,11.0,0.0,104.63,2019-12-09 20:00:00
84,60.0,12.0,0.0,104.915,2019-12-09 21:00:00
85,66.0,12.0,0.0,104.915,2019-12-09 22:00:00
86,75.0,14.0,0.0,105.0,2019-12-09 23:00:00
87,70.0,13.0,0.0,105.0,2019-12-10 00:00:00
88,34.0,7.0,0.0,105.0,2019-12-10 12:00:00
89,39.0,8.0,0.0,105.0,2019-12-10 13:00:00
90,70.0,14.0,0.0,104.6,2019-12-10 14:00:00
91,63.0,13.0,0.0,104.68,2019-12-10 15:00:00
92,62.0,12.0,0.0,104.63,2019-12-10 16:00:00
93,62.0,12.0,0.0,104.465,2019-12-10 17:00:00
94,62.0,12.0,0.0,104.45,2019-12-10 18:00:00
95,61.0,12.0,0.0,104.56,2019-12-10 19:00:00
96,62.0,12.0,0.0,104.625,2019-12-10 20:00:00
97,67.0,13.0,0.0,107.2,2019-12-10 21:00:00
98,76.0,14.0,0.0,107.2,2019-12-10 22:00:00
99,93.0,16.0,0.0,107.2,2019-12-10 23:00:00
100,100.0,16.0,0.0,107.2,2019-12-11 00:00:00
101,37.0,7.0,0.0,105.0,2019-12-11 12:00:00
102,43.0,8.0,0.0,105.0,2019-12-11 13:00:00
103,47.0,9.0,0.0,104.86,2019-12-11 14:00:00
104,49.0,9.0,0.0,104.395,2019-12-11 15:00:00
105,51.0,10.0,0.0,104.47,2019-12-11 16:00:00
106,54.0,10.0,0.0,104.305,2019-12-11 17:00:00
107,55.0,10.0,0.0,104.17,2019-12-11 18:00:00
108,57.0,11.0,0.0,104.13,2019-12-11 19:00:00
109,57.0,11.0,0.0,103.875,2019-12-11 20:00:00
110,65.0,12.0,0.0,104.595,2019-12-11 21:00:00
111,69.0,13.0,0.0,104.595,2019-12-11 22:00:00
112,75.0,14.0,0.0,104.595,2019-12-11 23:00:00
113,78.0,15.0,0.0,104.595,2019-12-12 00:00:00
114,29.0,6.0,0.0,104.69,2019-12-12 11:00:00
115,38.0,8.0,0.0,106.49,2019-12-12 12:00:00
116,46.0,10.0,0.0,102.5,2019-12-12 13:00:00
117,57.0,12.0,0.0,103.81,2019-12-12 14:00:00
118,60.0,12.0,0.0,104.335,2019-12-12 15:00:00
119,62.0,13.0,0.0,104.185,2019-12-12 16:00:00
120,65.0,13.0,0.0,104.14,2019-12-12 17:00:00
121,69.0,14.0,0.0,104.295,2019-12-12 18:00:00
122,70.0,14.0,0.0,104.415,2019-12-12 19:00:00
123,72.0,14.0,0.0,104.125,2019-12-12 20:00:00
124,79.0,15.0,0.0,103.5,2019-12-12 21:00:00
125,87.0,17.0,0.0,103.5,2019-12-12 22:00:00
126,92.0,18.0,0.0,104.275,2019-12-12 23:00:00
127,92.0,17.0,0.0,104.275,2019-12-13 00:00:00
128,41.0,9.0,0.0,104.275,2019-12-13 12:00:00
129,48.0,10.0,0.0,104.275,2019-12-13 13:00:00
130,57.0,11.0,0.0,104.105,2019-12-13 14:00:00
131,95.0,19.0,0.0,104.07,2019-12-13 15:00:00
132,84.0,17.0,0.0,104.25,2019-12-13 16:00:00
133,88.0,18.0,0.0,104.28,2019-12-13 17:00:00
134,83.0,17.0,0.0,104.39,2019-12-13 18:00:00
135,82.0,17.0,0.0,104.51,2019-12-13 19:00:00
136,86.0,17.0,0.0,104.465,2019-12-13 20:00:00
137,86.0,17.0,0.0,104.275,2019-12-13 21:00:00
138,88.0,17.0,0.0,104.275,2019-12-13 22:00:00
139,99.0,19.0,0.0,104.275,2019-12-13 23:00:00
140,98.0,19.0,0.0,104.275,2019-12-14 00:00:00
141,1.0,0.0,0.0,104.275,2019-12-16 12:00:00
