,Unnamed: 0,date,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef,crisis,USA,Chinese,Trump,dynamic_corr,dynamic_corr2
252,252,2018-01-03,2697.8501,2714.3701,2697.77,2713.0601,2713.0601,3538660000.0,0.0,1.0,23.49,40.05,42.09,11.44,0.41635852677089796,-0.853177651892232
253,253,2018-01-04,2719.3101,2729.29,2719.0701,2723.99,2723.99,3695260000.0,0.0,1.0,24.94,39.6,44.16,11.0,0.255944268916932,-0.80728415172744
254,254,2018-01-05,2731.3301,2743.45,2727.9199,2743.1499,2743.1499,3236620000.0,0.0,1.0,22.04,38.7,44.85,10.78,0.101374706311513,-0.8059735181566929
255,255,2018-01-08,2742.6699,2748.51,2737.6001,2747.71,2747.71,3242650000.0,0.0,1.0,26.24,37.35,34.22,15.079999999999998,-0.24279712218093696,-0.809953424705228
256,256,2018-01-09,2751.1499,2759.1399,2747.8601,2751.29,2751.29,3453480000.0,0.0,1.0,24.64,37.35,33.059999999999995,16.24,0.33810202758612395,-0.6301903215663499
257,257,2018-01-10,2745.55,2750.8,2736.0601,2748.23,2748.23,3576350000.0,0.0,1.0,24.32,40.05,34.22,12.76,0.523206787857088,-0.391817610078359
258,258,2018-01-11,2752.97,2767.5601,2752.78,2767.5601,2767.5601,3641320000.0,0.0,1.0,28.48,37.35,34.22,13.05,0.30844590588880105,-0.5390968880095479
259,259,2018-01-12,2770.1799,2787.8501,2769.6399,2786.24,2786.24,3573970000.0,0.0,1.0,21.76,36.45,37.12,29.0,0.304863451801578,-0.609480036903227
260,260,2018-01-16,2798.96,2807.54,2768.6399,2776.4199,2776.4199,4325970000.0,0.0,1.0,27.88000000000001,37.8,32.48,12.0,0.755783551124126,0.440225483115316
261,261,2018-01-17,2784.99,2807.04,2778.3799,2802.5601,2802.5601,3778050000.0,0.0,1.0,30.94,38.25,33.64,13.5,0.541033428578118,0.141252897676401
262,262,2018-01-18,2802.3999,2805.8301,2792.5601,2798.03,2798.03,3681470000.0,0.0,1.0,28.9,38.7,34.8,12.75,0.40164320125184705,-0.0501773234420758
263,263,2018-01-19,2802.6001,2810.3301,2798.0801,2810.3,2810.3,3639430000.0,0.0,1.0,29.24,37.8,36.54,12.0,0.30866128263254805,-0.24835431041276604
264,264,2018-01-22,2809.1599,2833.03,2808.1201,2832.97,2832.97,3471780000.0,0.0,1.0,31.45,40.89,31.9,9.46,0.126592845309925,-0.44345454038643606
265,265,2018-01-23,2835.05,2842.24,2830.5901,2839.1299,2839.1299,3519650000.0,0.0,1.0,36.26,41.83,35.37999999999999,9.02,-0.430267628659493,-0.646507859432092
266,266,2018-01-24,2845.4199,2852.97,2824.8101,2837.54,2837.54,4014070000.0,0.0,1.0,37.0,41.83,34.22,8.8,-0.590035867076922,-0.73745861809169
267,267,2018-01-25,2846.24,2848.5601,2830.9399,2839.25,2839.25,3835150000.0,0.0,1.0,37.0,41.83,35.37999999999999,8.8,-0.6500579093702541,-0.78193035124677
268,268,2018-01-26,2847.48,2872.8701,2846.1799,2872.8701,2872.8701,3443230000.0,0.0,1.0,35.89,39.01,35.37999999999999,9.9,-0.6729055265883189,-0.8052785984225609
269,269,2018-01-29,2867.23,2870.6201,2851.48,2853.53,2853.53,3573830000.0,0.0,1.0,37.72,43.24,36.58,9.6,-0.614951717703421,-0.805861728953785
270,270,2018-01-30,2832.74,2837.75,2818.27,2822.4299,2822.4299,3990650000.0,0.0,1.0,39.77,40.48,37.82,10.56,-0.627349539518855,-0.8094774687560881
271,271,2018-01-31,2832.4099,2839.26,2813.04,2823.8101,2823.8101,4261280000.0,0.0,1.0,40.59,46.0,36.58,20.16,-0.5493954699055871,-0.7765611063487691
272,272,2018-02-01,2816.45,2835.96,2812.7,2821.98,2821.98,3938450000.0,0.0,1.0,14.76,23.92,23.56,24.0,0.47609321360044204,-0.16903683903346803
273,273,2018-02-02,2808.9199,2808.9199,2759.97,2762.1299,2762.1299,4301130000.0,0.0,1.0,13.12,23.92,26.04,22.56,0.6090838216741961,0.37615114569235397
274,274,2018-02-05,2741.0601,2763.3899,2638.1699,2648.9399,2648.9399,5283460000.0,0.0,1.0,12.48,25.48,21.76,17.6,0.504415994128836,0.527959992402685
275,275,2018-02-06,2614.78,2701.04,2593.0701,2695.1399,2695.1399,5891660000.0,0.0,1.0,12.87,24.99,23.68,17.0,-0.11436212425842998,0.450065889182166
276,276,2018-02-07,2690.95,2727.6699,2681.3301,2681.6599,2681.6599,4626570000.0,0.0,1.0,12.48,26.46,25.6,18.2,-0.288750520493093,0.34038571525391104
277,277,2018-02-08,2685.01,2685.27,2580.5601,2581.0,2581.0,5305440000.0,0.0,1.0,12.09,26.46,25.6,17.400000000000002,-0.5839073925450831,0.391254326722565
278,278,2018-02-09,2601.78,2638.6699,2532.6899,2619.55,2619.55,5680070000.0,0.0,1.0,11.7,29.89,27.52,16.6,-0.6550545327374591,0.339633501128384
279,279,2018-02-12,2636.75,2672.6101,2622.45,2656.0,2656.0,4055790000.0,0.0,1.0,12.92,43.31,39.99,16.6,-0.624268481190292,0.243046963823994
280,280,2018-02-13,2646.27,2668.8401,2637.0801,2662.9399,2662.9399,3472870000.0,0.0,1.0,12.54,42.09,39.99,15.8,-0.58919186942764,0.202993302546558
281,281,2018-02-14,2651.21,2702.1001,2648.8701,2698.6299,2698.6299,4003740000.0,0.0,1.0,11.78,42.7,44.64,15.8,-0.603123830986346,0.0657674344385495
282,282,2018-02-15,2713.46,2731.51,2689.8201,2731.2,2731.2,3684910000.0,0.0,1.0,11.78,43.31,59.52,18.0,-0.529386781308941,-0.0186184103882338
283,283,2018-02-16,2727.1399,2754.4199,2725.1101,2732.22,2732.22,3637460000.0,0.0,1.0,12.54,42.09,93.0,20.0,-0.16298375292573097,0.288577621784441
284,284,2018-02-20,2722.99,2737.6001,2706.76,2716.26,2716.26,3627610000.0,0.0,1.0,38.28,46.08,26.22,17.2,0.0420397213324915,0.5364808749924951
285,285,2018-02-21,2720.53,2747.75,2701.29,2701.3301,2701.3301,3779400000.0,0.0,1.0,66.0,48.64,24.84,15.8,-0.198532924045313,0.45719953397802504
286,286,2018-02-22,2710.4199,2731.26,2697.77,2703.96,2703.96,3701270000.0,0.0,1.0,44.88,64.0,25.53,17.2,-0.47299446931093797,0.210510436171901
287,287,2018-02-23,2715.8,2747.76,2713.74,2747.3,2747.3,3189190000.0,0.0,1.0,27.72,41.6,28.29,16.400000000000002,-0.608245128747825,0.275937748789657
288,288,2018-02-26,2757.3701,2780.6399,2753.78,2779.6001,2779.6001,3424650000.0,0.0,1.0,19.35,29.14,21.83,14.06,-0.00954023358962449,0.18432682132978498
289,289,2018-02-27,2780.45,2789.1499,2744.22,2744.28,2744.28,3745080000.0,0.0,1.0,17.1,25.38,19.47,15.01,0.257755896465709,-0.315261742911387
290,290,2018-02-28,2753.78,2761.52,2713.54,2713.8301,2713.8301,4230660000.0,0.0,1.0,17.55,25.38,20.65,14.44,0.25131715948391603,-0.38180598329318105
291,291,2018-03-01,2715.22,2730.8899,2659.6499,2677.6699,2677.6699,4503970000.0,0.0,1.0,40.95,42.77,46.02,13.11,-0.0387727895747451,-0.479903251336655
292,292,2018-03-02,2658.8899,2696.25,2647.3201,2691.25,2691.25,3882450000.0,0.0,1.0,35.1,40.89,47.79,13.3,-0.268741384574439,-0.609315502565126
