,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel
2017-01-03,2017-01-03,57.15,57.15,57.15,57.15,11.43,0.0,0.0,1.0,48.95,26.22,4.0,86.0,5.670000000000001,42.25
2017-01-04,2017-01-04,57.15,57.15,57.15,57.15,11.43,8.0,0.0,1.0,49.50000000000001,30.82,3.4,34.4,6.7200000000000015,44.2
2017-01-05,2017-01-05,57.22,57.22,57.22,57.22,11.444,200.0,0.0,1.0,50.6,37.26000000000001,2.8000000000000003,40.42,5.74,43.55
2017-01-06,2017-01-06,57.22,57.22,57.22,57.22,11.444,0.0,0.0,1.0,45.65000000000001,30.82,2.4,34.4,4.48,43.55
2017-01-09,2017-01-09,55.41,55.41,55.41,55.41,11.082,200.0,0.0,1.0,51.3,42.56,3.56,26.130000000000006,4.83,35.4
2017-01-10,2017-01-10,54.29,54.29,54.29,54.29,10.857999999999999,100.0,0.0,1.0,50.16,43.68000000000001,2.36,29.48,5.53,33.629999999999995
2017-01-11,2017-01-11,54.29,54.29,54.29,54.29,10.857999999999999,0.0,0.0,1.0,49.02,42.56,2.84,22.110000000000007,4.2700000000000005,36.58
2017-01-12,2017-01-12,54.29,54.29,54.29,54.29,10.857999999999999,0.0,0.0,1.0,50.16,44.8,2.04,22.78,4.9,38.35
2017-01-13,2017-01-13,55.81,55.81,55.81,55.81,11.162,100.0,0.0,1.0,49.59,42.56,2.24,26.130000000000006,3.01,40.12
2017-01-17,2017-01-17,55.81,55.81,55.81,55.81,11.162,0.0,0.0,1.0,47.6,54.0,1.89,22.04,7.84,35.98999999999999
2017-01-18,2017-01-18,55.81,55.81,55.81,55.81,11.162,0.0,0.0,1.0,48.72000000000001,54.6,1.65,22.04,5.04,38.35
2017-01-19,2017-01-19,55.05,55.31,54.73,54.73,10.946,1000.0,0.0,1.0,48.72000000000001,54.6,1.56,20.88,6.0,38.35
2017-01-20,2017-01-20,56.1,56.1,56.07,56.08,11.216,5600.0,0.0,1.0,45.36000000000001,49.8,2.19,16.82,5.68,35.98999999999999
2017-01-23,2017-01-23,56.08,56.08,56.08,56.08,11.216,0.0,0.0,1.0,46.48,61.2,2.72,27.0,6.6400000000000015,37.12
2017-01-24,2017-01-24,56.08,56.08,56.08,56.08,11.216,1.0,0.0,1.0,49.28,63.24,2.24,35.1,6.0,33.64
2017-01-25,2017-01-25,56.08,56.08,56.08,56.08,11.216,0.0,0.0,1.0,53.2,66.64,2.48,79.2,8.0,34.8
2017-01-26,2017-01-26,56.08,56.08,56.08,56.08,11.216,19.0,0.0,1.0,48.72000000000001,65.28,2.64,63.0,6.48,37.7
2017-01-27,2017-01-27,55.6,55.6,55.39,55.4,11.08,5000.0,0.0,1.0,47.6,58.48,2.04,43.2,5.44,37.12
2017-01-30,2017-01-30,55.4,55.4,55.4,55.4,11.08,0.0,0.0,1.0,48.72000000000001,63.92,2.2,40.85,7.6,35.91
2017-01-31,2017-01-31,55.4,55.4,55.4,55.4,11.08,1.0,0.0,1.0,47.6,68.0,2.04,46.55,6.5600000000000005,34.77
2017-02-01,2017-02-01,55.4,55.4,55.4,55.4,11.08,1.0,0.0,1.0,48.72000000000001,62.56,3.64,95.0,5.12,34.77
2017-02-02,2017-02-02,56.56,56.56,56.27,56.27,11.254000000000001,640.0,0.0,1.0,47.6,63.92,2.92,37.05,5.5200000000000005,34.2
2017-02-03,2017-02-03,56.27,56.27,56.27,56.27,11.254000000000001,0.0,0.0,1.0,48.16,52.36000000000001,1.92,33.25,3.52,37.05
2017-02-06,2017-02-06,56.27,56.27,56.27,56.27,11.254000000000001,0.0,0.0,1.0,43.2,56.28,2.2,20.15,5.44,30.24
2017-02-07,2017-02-07,56.27,56.27,56.27,56.27,11.254000000000001,0.0,0.0,1.0,45.90000000000001,56.95,1.92,18.85,8.0,28.56
2017-02-08,2017-02-08,56.27,56.27,56.27,56.27,11.254000000000001,1.0,0.0,1.0,45.90000000000001,59.63,4.0,20.8,6.24,34.160000000000004
2017-02-09,2017-02-09,56.27,56.27,56.27,56.27,11.254000000000001,56.0,0.0,1.0,44.82,50.25,2.96,23.4,5.28,35.28
