date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef
2020-04-28,0.0,0.0,0.0,2.66,2.66,0.0,0.0,1.0
2020-04-24,2.66,2.66,2.65,2.66,2.66,21798780.0,0.0,1.0
2020-04-23,2.67,2.92,2.54,2.66,2.66,46113052.0,0.0,1.0
2020-04-22,2.3,2.65,2.18,2.24,2.24,70706897.0,0.0,1.0
2020-04-21,2.76,2.81,1.85,2.23,2.23,114645497.0,0.0,1.0
2020-04-20,3.61,4.12,3.6,3.73,3.73,78555161.0,0.0,1.0
2020-04-17,4.02,4.14,3.96,4.05,4.05,15184597.0,0.0,1.0
2020-04-16,4.28,4.28,4.02,4.21,4.21,9885220.0,0.0,1.0
2020-04-15,4.29,4.33,4.16,4.3,4.3,12701642.0,0.0,1.0
2020-04-14,4.66,4.69,4.3915,4.51,4.51,12616924.0,0.0,1.0
2020-04-13,4.86,4.95,4.725,4.8,4.8,5671662.0,0.0,1.0
2020-04-09,5.32,5.67,4.73,4.88,4.88,13228285.0,0.0,1.0
2020-04-08,4.98,5.31,4.84,5.28,5.28,8501383.0,0.0,1.0
2020-04-07,5.37,5.4299,4.8,4.98,4.98,7304892.0,0.0,1.0
2020-04-06,5.5,5.58,5.27,5.37,5.37,6425984.0,0.0,1.0
2020-04-03,5.6,5.9,5.3301,5.8,5.8,9820629.0,0.0,1.0
2020-04-02,4.5,5.49,4.41,5.06,5.06,10637811.0,0.0,1.0
2020-04-01,4.16,4.28,4.05,4.28,4.28,3356801.0,0.0,1.0
2020-03-31,4.28,4.29,4.0819,4.13,4.13,9463944.0,0.0,1.0
2020-03-30,4.15,4.43,3.99,4.15,4.15,10190377.0,0.0,1.0
2020-03-27,4.51,4.57,4.26,4.42,4.42,5197689.0,0.0,1.0
2020-03-26,4.83,4.86,4.58,4.74,4.74,3588203.0,0.0,1.0
2020-03-25,4.89,5.07,4.65,5.0,5.0,1825266.0,0.0,1.0
2020-03-24,5.1,5.1,4.725,4.89,4.89,1978051.0,0.0,1.0
2020-03-23,4.71,4.85,4.51,4.81,4.81,3695200.0,0.0,1.0
2020-03-20,5.23,5.25,4.76,4.86,4.86,3822325.0,0.0,1.0
2020-03-19,4.74,5.79,4.57,5.31,5.31,4135615.0,0.0,1.0
2020-03-18,5.0,5.12,4.42,4.67,4.67,5143509.0,0.0,1.0
2020-03-17,6.0,6.07,5.54,5.605,5.605,1748582.0,0.0,1.0
2020-03-16,6.57,6.57,5.98,6.02,6.02,2230311.0,0.0,1.0
2020-03-13,6.76,7.0,6.4301,6.82,6.82,878182.0,0.0,1.0
2020-03-12,6.5,6.66,6.32,6.48,6.48,1835091.0,0.0,1.0
2020-03-11,6.9,6.99,6.72,6.83,6.83,1093962.0,0.0,1.0
2020-03-10,7.11,7.2,6.8001,7.13,7.13,2518835.0,0.0,1.0
2020-03-09,6.72,7.43,6.61,6.76,6.76,3587874.0,0.0,1.0
2020-03-06,9.07,9.08,8.42,8.56,8.56,613462.0,0.0,1.0
2020-03-05,9.62,9.65,9.3701,9.42,9.42,165430.0,0.0,1.0
2020-03-04,9.9,9.921,9.6,9.65,9.65,132045.0,0.0,1.0
2020-03-03,9.81,9.98,9.57,9.694,9.694,250539.0,0.0,1.0
2020-03-02,9.47,9.73,9.36,9.729,9.729,374057.0,0.0,1.0
2020-02-28,9.22,9.31,9.0018,9.29,9.29,447879.0,0.0,1.0
2020-02-27,9.5227,9.77,9.43,9.6,9.6,286117.0,0.0,1.0
2020-02-26,10.18,10.3,9.93,9.99,9.99,174933.0,0.0,1.0
