date,oil,production,wti,brent,crude oil,barrel
2017-01-01,40.7,12.88,0.68,36.98,2.3800000000000003,65.0
2017-01-02,51.7,21.62,1.0,32.68,3.22,53.300000000000004
2017-01-03,48.95,26.220000000000002,4.0,86.0,5.670000000000001,42.25
2017-01-04,49.50000000000001,30.82,3.4,34.4,6.720000000000001,44.2
2017-01-05,50.6,37.260000000000005,2.8000000000000003,40.42,5.74,43.550000000000004
2017-01-06,45.650000000000006,30.82,2.4,34.4,4.48,43.550000000000004
2017-01-07,51.150000000000006,22.080000000000002,0.76,29.24,2.24,51.35
2017-01-08,53.01,30.240000000000002,0.76,20.77,3.0100000000000002,46.019999999999996
2017-01-09,51.3,42.56,3.56,26.130000000000003,4.83,35.4
2017-01-10,50.16,43.68000000000001,2.36,29.48,5.53,33.629999999999995
2017-01-11,49.019999999999996,42.56,2.84,22.110000000000003,4.2700000000000005,36.58
2017-01-12,50.16,44.800000000000004,2.04,22.78,4.9,38.35
2017-01-13,49.589999999999996,42.56,2.24,26.130000000000003,3.0100000000000002,40.12
2017-01-14,56.99999999999999,29.680000000000003,0.32,20.77,2.3800000000000003,44.839999999999996
2017-01-15,51.52,33.0,0.32999999999999996,20.299999999999997,2.08,47.79
2017-01-16,52.64000000000001,41.4,0.99,18.56,4.24,41.3
2017-01-17,47.6,54.0,1.89,22.04,7.84,35.989999999999995
2017-01-18,48.720000000000006,54.6,1.65,22.04,5.04,38.35
2017-01-19,48.720000000000006,54.6,1.56,20.88,6.0,38.35
2017-01-20,45.36000000000001,49.8,2.19,16.82,5.68,35.989999999999995
2017-01-21,52.64000000000001,34.8,0.57,19.72,2.08,44.839999999999996
2017-01-22,50.96000000000001,44.2,0.72,30.6,1.92,45.239999999999995
2017-01-23,46.480000000000004,61.2,2.72,27.0,6.640000000000001,37.12
2017-01-24,49.28,63.24,2.24,35.1,6.0,33.64
2017-01-25,53.2,66.64,2.48,79.2,8.0,34.8
2017-01-26,48.720000000000006,65.28,2.64,63.0,6.48,37.699999999999996
2017-01-27,47.6,58.480000000000004,2.04,43.2,5.44,37.12
2017-01-28,54.32000000000001,42.84,0.88,40.5,3.2800000000000002,46.4
2017-01-29,53.760000000000005,48.96,1.08,38.949999999999996,2.72,47.309999999999995
2017-01-30,48.720000000000006,63.92,2.2,40.85,7.6000000000000005,35.91
2017-01-31,47.6,68.0,2.04,46.55,6.5600000000000005,34.769999999999996
2017-02-01,48.720000000000006,62.56,3.64,95.0,5.12,34.769999999999996
2017-02-02,47.6,63.92,2.92,37.05,5.5200000000000005,34.199999999999996
2017-02-03,48.160000000000004,52.36000000000001,1.92,33.25,3.52,37.05
2017-02-04,56.00000000000001,42.160000000000004,0.84,24.7,1.6,46.169999999999995
2017-02-05,49.68000000000001,36.85,0.48,16.900000000000002,1.36,44.24
2017-02-06,43.2,56.28,2.2,20.150000000000002,5.44,30.240000000000002
