,Trump,trump,hamburger,DateTime,open_spx,high_spx,low_spx,sp500,sp500_adj,volume_spx,divid,split coef
0,,,,2019-01-02,2476.96,2519.49,2467.47,2510.03,2510.03,3733160000.0,0.0,1.0
1,,,,2019-01-03,2491.9199,2493.1399,2443.96,2447.8899,2447.8899,3822860000.0,0.0,1.0
2,,,,2019-01-04,2474.3301,2538.0701,2474.3301,2531.9399,2531.9399,4213410000.0,0.0,1.0
3,18.62,18.62,53.9,2019-01-07,2535.6101,2566.1599,2524.5601,2549.6899,2549.6899,4104710000.0,0.0,1.0
4,23.52,23.52,62.370000000000005,2019-01-08,2568.1101,2579.8201,2547.5601,2574.4099,2574.4099,4083030000.0,0.0,1.0
5,49.0,49.0,64.68,2019-01-09,2580.0,2595.3201,2568.8899,2584.96,2584.96,4052480000.0,0.0,1.0
6,27.439999999999998,27.439999999999998,53.9,2019-01-10,2573.51,2597.8201,2562.02,2596.6399,2596.6399,3704500000.0,0.0,1.0
7,24.5,24.5,54.67,2019-01-11,2588.1101,2596.27,2577.3999,2596.26,2596.26,3434490000.0,0.0,1.0
8,21.56,21.56,60.48,2019-01-14,2580.3101,2589.3201,2570.4099,2582.6101,2582.6101,3664450000.0,0.0,1.0
9,25.97,25.97,71.39999999999999,2019-01-15,2585.1001,2613.0801,2585.1001,2610.3,2610.3,3572330000.0,0.0,1.0
10,24.99,24.99,80.64,2019-01-16,2614.75,2625.76,2612.6799,2616.1001,2616.1001,3863770000.0,0.0,1.0
11,25.48,25.48,72.24,2019-01-17,2609.28,2645.0601,2606.3601,2635.96,2635.96,3772270000.0,0.0,1.0
12,28.91,28.91,58.8,2019-01-18,2651.27,2675.47,2647.5801,2670.71,2670.71,3986730000.0,0.0,1.0
13,17.64,17.64,60.830000000000005,2019-01-22,2657.8799,2657.8799,2617.27,2632.8999,2632.8999,3908030000.0,0.0,1.0
14,18.06,18.06,60.040000000000006,2019-01-23,2643.48,2653.1899,2612.8601,2638.7,2638.7,3335610000.0,0.0,1.0
15,18.48,18.48,58.46,2019-01-24,2638.8401,2647.2,2627.01,2642.3301,2642.3301,3433250000.0,0.0,1.0
16,26.04,26.04,52.93,2019-01-25,2657.4399,2672.3799,2657.3301,2664.76,2664.76,3814080000.0,0.0,1.0
17,10.799999999999999,10.799999999999999,53.25,2019-01-28,2644.97,2644.97,2624.0601,2643.8501,2643.8501,3612810000.0,0.0,1.0
18,10.5,10.5,57.75,2019-01-29,2644.8899,2650.9299,2631.05,2640.0,2640.0,3504200000.0,0.0,1.0
19,10.5,10.5,56.25,2019-01-30,2653.6201,2690.4399,2648.3401,2681.05,2681.05,3867810000.0,0.0,1.0
20,9.9,9.9,54.0,2019-01-31,2685.49,2708.95,2678.6499,2704.1001,2704.1001,4917650000.0,0.0,1.0
21,13.799999999999999,13.799999999999999,42.75,2019-02-01,2702.3201,2716.6599,2696.8799,2706.53,2706.53,3759270000.0,0.0,1.0
22,14.850000000000001,14.850000000000001,40.32,2019-02-04,2706.49,2724.99,2698.75,2724.8701,2724.8701,3359840000.0,0.0,1.0
23,15.180000000000001,15.180000000000001,46.8,2019-02-05,2728.3401,2738.98,2724.03,2737.7,2737.7,3560430000.0,0.0,1.0
24,33.0,33.0,42.48,2019-02-06,2735.05,2738.0801,2724.1499,2731.6101,2731.6101,3472690000.0,0.0,1.0
25,16.830000000000002,16.830000000000002,41.04,2019-02-07,2717.53,2719.3201,2687.26,2706.05,2706.05,4099490000.0,0.0,1.0
26,14.850000000000001,14.850000000000001,38.16,2019-02-08,2692.3601,2708.0701,2681.8301,2707.8799,2707.8799,3622330000.0,0.0,1.0
27,15.98,15.98,42.0,2019-02-11,2712.3999,2718.05,2703.79,2709.8,2709.8,3361970000.0,0.0,1.0
28,19.720000000000002,19.720000000000002,42.699999999999996,2019-02-12,2722.6101,2748.1899,2722.6101,2744.73,2744.73,3827770000.0,0.0,1.0
29,15.98,15.98,37.8,2019-02-13,2750.3,2761.8501,2748.6299,2753.03,2753.03,3670770000.0,0.0,1.0
30,17.0,17.0,35.699999999999996,2019-02-14,2743.5,2757.8999,2731.23,2745.73,2745.73,3836700000.0,0.0,1.0
31,28.560000000000002,28.560000000000002,42.699999999999996,2019-02-15,2760.24,2775.6599,2760.24,2775.6001,2775.6001,3641370000.0,0.0,1.0
32,16.5,16.5,47.57,2019-02-19,2769.28,2787.3301,2767.29,2779.76,2779.76,3533710000.0,0.0,1.0
33,15.0,15.0,45.44,2019-02-20,2779.05,2789.8799,2774.0601,2784.7,2784.7,3835450000.0,0.0,1.0
34,13.5,13.5,41.18,2019-02-21,2780.24,2781.5801,2764.55,2774.8799,2774.8799,3559710000.0,0.0,1.0
35,13.2,13.2,36.21,2019-02-22,2780.6699,2794.2,2779.1101,2792.6699,2792.6699,3427810000.0,0.0,1.0
36,12.8,12.8,40.47,2019-02-25,2804.3501,2813.49,2794.99,2796.1101,2796.1101,3804380000.0,0.0,1.0
37,14.08,14.08,43.309999999999995,2019-02-26,2792.3601,2803.1201,2789.47,2793.8999,2793.8999,3645680000.0,0.0,1.0
38,22.72,22.72,44.019999999999996,2019-02-27,2787.5,2795.76,2775.1299,2792.3799,2792.3799,3767130000.0,0.0,1.0
39,21.44,21.44,44.019999999999996,2019-02-28,2788.1101,2793.73,2782.51,2784.49,2784.49,4396930000.0,0.0,1.0
40,30.72,30.72,51.83,2019-03-01,2798.22,2808.02,2787.3799,2803.6899,2803.6899,3972280000.0,0.0,1.0
41,24.57,24.57,55.760000000000005,2019-03-04,2814.3701,2816.8799,2767.6599,2792.8101,2792.8101,3919810000.0,0.0,1.0
42,22.68,22.68,54.400000000000006,2019-03-05,2794.4099,2796.4399,2782.97,2789.6499,2789.6499,3585690000.0,0.0,1.0
43,22.41,22.41,52.36000000000001,2019-03-06,2790.27,2790.27,2768.6899,2771.45,2771.45,3786600000.0,0.0,1.0
44,21.060000000000002,21.060000000000002,53.720000000000006,2019-03-07,2766.53,2767.25,2739.0901,2748.9299,2748.9299,3904860000.0,0.0,1.0
45,21.87,21.87,46.92,2019-03-08,2730.79,2744.1299,2722.27,2743.0701,2743.0701,3423130000.0,0.0,1.0
46,18.75,18.75,50.82,2019-03-11,2747.6101,2784.0,2747.6101,2783.3,2783.3,3749030000.0,0.0,1.0
47,20.25,20.25,50.82,2019-03-12,2787.3401,2798.3201,2786.73,2791.52,2791.52,3414230000.0,0.0,1.0
48,21.0,21.0,47.52,2019-03-13,2799.78,2821.24,2799.78,2810.9199,2810.9199,3766150000.0,0.0,1.0
