"","x"
"1",-0.853177651892232
"2",-0.80728415172744
"3",-0.805973518156693
"4",-0.809953424705228
"5",-0.63019032156635
"6",-0.391817610078359
"7",-0.539096888009548
"8",-0.609480036903227
"9",0.440225483115316
"10",0.141252897676401
"11",-0.0501773234420758
"12",-0.248354310412766
"13",-0.443454540386436
"14",-0.646507859432092
"15",-0.73745861809169
"16",-0.78193035124677
"17",-0.805278598422561
"18",-0.805861728953785
"19",-0.809477468756088
"20",-0.776561106348769
"21",-0.169036839033468
"22",0.376151145692354
"23",0.527959992402685
"24",0.450065889182166
"25",0.340385715253911
"26",0.391254326722565
"27",0.339633501128384
"28",0.243046963823994
"29",0.202993302546558
"30",0.0657674344385495
"31",-0.0186184103882338
"32",0.288577621784441
"33",0.536480874992495
"34",0.457199533978025
"35",0.210510436171901
"36",0.275937748789657
"37",0.184326821329785
"38",-0.315261742911387
"39",-0.381805983293181
"40",-0.479903251336655
"41",-0.609315502565126
"42",-0.678372211407293
"43",-0.782761830379355
"44",-0.807189515855487
"45",-0.783486247716368
"46",-0.786265001276638
"47",-0.797962332388713
"48",-0.751883699198174
"49",-0.322280171684219
"50",-0.110061997149158
"51",0.197768932024654
"52",0.594625334986689
"53",0.394593642509246
"54",0.358261522135183
"55",0.344405215562091
"56",0.431840806314415
"57",0.553313828311991
"58",0.461062823531435
"59",-0.0072267799856878
"60",-0.322741510529544
"61",-0.545736945891632
"62",-0.620258667010283
"63",-0.753096226719554
"64",-0.815609052556465
"65",-0.843643466718314
"66",-0.818285039715117
"67",-0.648762984938756
"68",-0.262294034659858
"69",-0.14974735449542
"70",-0.149435361094503
"71",-0.0516077242479153
"72",-0.506183141068253
"73",-0.696080130357507
"74",-0.744655032005797
"75",-0.777495078017698
"76",-0.790788892013222
"77",-0.791257299779489
"78",-0.753777885116354
"79",-0.698097887871803
"80",-0.57775144700249
"81",-0.437545336852225
"82",-0.634828965181646
"83",-0.575753547415538
"84",-0.52724928780514
"85",-0.112481146351958
"86",-0.0639395094571807
"87",-0.251432539405044
"88",0.23519464828574
"89",0.0450042755834119
"90",-0.106636512741509
"91",-0.285863935608104
"92",-0.375731492518939
"93",-0.442948138236072
"94",-0.615372372543741
"95",-0.645340454233021
"96",-0.590672955258697
"97",-0.727071197631327
"98",-0.774023373842523
"99",-0.790317451709417
"100",-0.63067397882035
"101",-0.697316231217902
"102",-0.660181309014114
"103",-0.0749997939307893
"104",0.242740947414879
"105",-0.467823223300824
"106",-0.669207421387423
"107",-0.731228826093489
"108",-0.774505339541304
"109",-0.787081701062185
