date,date,open_tsla,high_tsla,low_tsla,tsla_price,tsla_adj,volume_tsla,divid,split coef,tesla,musk,elon
2017-01-03,2017-01-03,214.86,220.33,210.96,216.99,216.99,5923254.0,0.0,1.0,11.340000000000002,1.59,1.8
2017-01-04,2017-01-04,214.75,228.0,214.31,226.99,226.99,11213471.0,0.0,1.0,14.000000000000002,1.38,2.12
2017-01-05,2017-01-05,226.42,227.48,221.95,226.75,226.75,5911695.0,0.0,1.0,12.04,1.5,1.92
2017-01-06,2017-01-06,226.93,230.31,225.45,229.01,229.01,5527893.0,0.0,1.0,12.18,1.23,1.52
2017-01-09,2017-01-09,228.97,231.92,228.0,231.28,231.28,3979484.0,0.0,1.0,9.36,1.35,2.0
2017-01-10,2017-01-10,232.0,232.0,226.89,229.87,229.87,3659955.0,0.0,1.0,8.71,1.29,1.84
2017-01-11,2017-01-11,229.07,229.98,226.68,229.73,229.73,3650825.0,0.0,1.0,9.36,0.99,2.04
2017-01-12,2017-01-12,229.06,230.7,225.58,229.59,229.59,3790229.0,0.0,1.0,8.97,1.02,1.72
2017-01-13,2017-01-13,230.0,237.85,229.59,237.75,237.75,6092960.0,0.0,1.0,11.18,1.68,1.56
2017-01-17,2017-01-17,236.7,239.96,234.37,235.58,235.58,4617522.0,0.0,1.0,9.0,1.29,2.0
2017-01-18,2017-01-18,236.65,239.71,235.58,238.36,238.36,3768967.0,0.0,1.0,9.48,1.17,1.52
2017-01-19,2017-01-19,247.25,248.68,240.75,243.76,243.76,7732303.0,0.0,1.0,10.56,1.17,1.8
2017-01-20,2017-01-20,245.46,246.0,243.01,244.73,244.73,4204275.0,0.0,1.0,9.0,1.5,1.68
2017-01-23,2017-01-23,245.85,250.8899,245.5,248.92,248.92,6262938.0,0.0,1.0,9.72,2.28,2.35
2017-01-24,2017-01-24,250.0,254.8,249.65,254.61,254.61,4965451.0,0.0,1.0,9.36,2.16,2.95
