date,tesla,musk,elon
2017-01-01,10.920000000000002,1.2,1.32
2017-01-02,10.780000000000001,1.44,1.92
2017-01-03,11.340000000000002,1.5899999999999999,1.8
2017-01-04,14.000000000000002,1.38,2.12
2017-01-05,12.040000000000001,1.5,1.92
2017-01-06,12.180000000000001,1.23,1.52
2017-01-07,12.180000000000001,1.5,1.8
2017-01-08,10.790000000000001,1.23,1.6
2017-01-09,9.36,1.3499999999999999,2.0
2017-01-10,8.71,1.29,1.84
2017-01-11,9.36,0.99,2.04
2017-01-12,8.97,1.02,1.72
2017-01-13,11.18,1.68,1.56
2017-01-14,10.790000000000001,1.74,2.16
2017-01-15,10.08,2.04,2.48
2017-01-16,8.04,1.6199999999999999,2.04
2017-01-17,9.0,1.29,2.0
2017-01-18,9.48,1.17,1.52
2017-01-19,10.559999999999999,1.17,1.8
2017-01-20,9.0,1.5,1.68
2017-01-21,9.719999999999999,0.87,1.44
2017-01-22,9.36,1.56,2.2
2017-01-23,9.719999999999999,2.2800000000000002,2.35
2017-01-24,9.36,2.16,2.95
2017-01-25,9.36,3.36,3.5500000000000003
2017-01-26,9.719999999999999,3.48,3.7
2017-01-27,9.719999999999999,3.04,3.4000000000000004
2017-01-28,9.959999999999999,2.32,2.7
2017-01-29,9.12,3.9000000000000004,5.11
2017-01-30,9.6,5.0,7.000000000000001
2017-01-31,7.8,3.6500000000000004,5.74
2017-02-01,9.12,2.75,5.53
2017-02-02,8.28,2.5,5.040000000000001
2017-02-03,8.28,3.7,6.090000000000001
2017-02-04,8.04,3.7,5.180000000000001
2017-02-05,9.1,1.71,3.6500000000000004
2017-02-06,9.23,1.6199999999999999,3.1500000000000004
2017-02-07,9.23,1.77,3.5
2017-02-08,11.96,1.26,3.6
2017-02-09,10.27,1.23,3.3000000000000003
2017-02-10,9.620000000000001,1.47,3.0500000000000003
2017-02-11,9.36,0.9299999999999999,2.9000000000000004
2017-02-12,9.8,1.6,2.45
2017-02-13,10.920000000000002,1.92,3.85
2017-02-14,10.500000000000002,1.92,3.0500000000000003
2017-02-15,10.22,2.44,3.45
2017-02-16,10.780000000000001,2.32,3.75
2017-02-17,10.920000000000002,1.8800000000000001,3.25
2017-02-18,10.64,2.24,3.3000000000000003
2017-02-19,11.549999999999999,3.24,4.6000000000000005
2017-02-20,11.25,2.88,3.9000000000000004
2017-02-21,11.7,2.36,3.1500000000000004
2017-02-22,14.549999999999999,2.04,3.4000000000000004
2017-02-23,15.0,1.92,3.5500000000000003
2017-02-24,11.549999999999999,1.6,3.2
2017-02-25,12.15,1.76,2.8000000000000003
2017-02-26,8.97,1.48,2.5500000000000003
2017-02-27,10.66,2.68,4.3500000000000005
2017-02-28,10.790000000000001,4.0,5.0
2017-03-01,9.88,2.2800000000000002,3.1500000000000004
2017-03-02,10.27,1.56,2.1
2017-03-03,9.49,1.72,2.2
2017-03-04,10.530000000000001,1.44,1.85
2017-03-05,14.000000000000002,3.88,4.45
2017-03-06,10.500000000000002,1.48,2.6500000000000004
2017-03-07,10.360000000000001,1.56,2.6
2017-03-08,10.22,1.32,2.7
2017-03-09,10.500000000000002,1.44,2.0
2017-03-10,11.200000000000001,2.2800000000000002,2.6
2017-03-11,10.22,1.6400000000000001,2.0
2017-03-12,10.360000000000001,1.1099999999999999,1.4000000000000001
2017-03-13,10.080000000000002,1.1099999999999999,1.96
2017-03-14,10.780000000000001,1.2,2.48
2017-03-15,11.760000000000002,0.96,1.8
2017-03-16,11.340000000000002,1.08,1.6400000000000001
2017-03-17,10.360000000000001,0.99,1.56
2017-03-18,11.06,0.9299999999999999,1.36
2017-03-19,9.620000000000001,1.17,1.2
2017-03-20,9.1,0.99,1.52
2017-03-21,8.71,1.3199999999999998,1.52
2017-03-22,8.84,1.14,1.8
2017-03-23,9.23,1.08,1.36
2017-03-24,10.790000000000001,1.5,1.52
2017-03-25,11.18,1.41,1.28
2017-03-26,12.15,2.16,2.24
2017-03-27,11.7,3.06,4.2700000000000005
2017-03-28,14.25,5.88,7.000000000000001
2017-03-29,12.299999999999999,4.68,5.32
2017-03-30,12.6,4.14,4.550000000000001
2017-03-31,12.45,6.0,6.090000000000001
2017-04-01,10.2,1.6199999999999999,2.5900000000000003
2017-04-02,10.71,1.2,1.8599999999999999
2017-04-03,15.3,1.12,1.98
2017-04-04,17.0,1.12,1.98
2017-04-05,13.600000000000001,0.8,1.56
2017-04-06,12.24,0.68,1.56
2017-04-07,11.39,0.68,1.38
2017-04-08,12.750000000000002,0.68,1.2
2017-04-09,12.6,0.72,1.05
2017-04-10,16.74,0.84,1.4500000000000002
2017-04-11,15.84,0.8,1.4500000000000002
2017-04-12,13.68,0.72,1.3
2017-04-13,15.66,0.96,1.4500000000000002
2017-04-14,15.12,0.76,1.35
2017-04-15,14.58,0.68,1.0
2017-04-16,12.48,0.76,1.05
2017-04-17,11.84,0.64,1.2000000000000002
2017-04-18,11.200000000000001,0.72,1.3
2017-04-19,10.56,0.76,1.25
2017-04-20,11.68,0.72,1.25
2017-04-21,11.52,1.0,1.55
2017-04-22,11.84,0.8,1.3
2017-04-23,10.799999999999999,2.07,2.4299999999999997
2017-04-24,10.799999999999999,9.0,9.0
2017-04-25,10.95,5.04,5.31
2017-04-26,9.9,2.61,2.9699999999999998
2017-04-27,10.65,2.4299999999999997,3.15
2017-04-28,10.35,3.06,3.15
2017-04-29,10.5,3.42,3.5999999999999996
2017-04-30,12.58,1.8599999999999999,2.3800000000000003
2017-05-01,12.24,6.0,7.000000000000001
2017-05-02,12.24,5.34,5.880000000000001
2017-05-03,13.090000000000002,5.279999999999999,5.040000000000001
2017-05-04,15.13,5.22,4.83
2017-05-05,11.9,4.68,4.69
2017-05-06,12.58,4.5,4.2
2017-05-07,12.24,3.6,3.6599999999999997
2017-05-08,12.6,3.5,3.7199999999999998
2017-05-09,12.42,2.9000000000000004,3.3
2017-05-10,16.2,3.45,3.54
2017-05-11,18.0,3.7,3.84
2017-05-12,16.02,4.7,4.32
2017-05-13,13.68,4.6000000000000005,4.4399999999999995
2017-05-14,12.8,3.64,3.45
2017-05-15,12.16,2.88,3.45
2017-05-16,11.36,2.52,2.6500000000000004
2017-05-17,10.72,2.68,2.5
2017-05-18,10.88,1.96,2.5
2017-05-19,10.56,2.72,3.2
2017-05-20,10.88,2.44,2.3000000000000003
2017-05-21,10.35,1.74,2.04
2017-05-22,9.9,1.5899999999999999,1.68
2017-05-23,9.6,1.53,1.72
2017-05-24,9.299999999999999,1.44,1.48
2017-05-25,9.9,1.26,1.76
2017-05-26,10.35,1.68,1.44
2017-05-27,10.35,1.38,1.6
2017-05-28,10.56,4.24,3.36
2017-05-29,10.4,5.28,4.32
2017-05-30,11.040000000000001,4.88,3.6
2017-05-31,10.56,7.84,5.6000000000000005
