date,apple,iphone,apple watch,airpods
2017-01-01,32.55,46.0,31.0,0.54
2017-01-02,35.0,46.0,28.21,0.87
2017-01-03,32.55,41.4,26.04,0.87
2017-01-04,30.799999999999997,40.940000000000005,25.11,0.8099999999999999
2017-01-05,30.799999999999997,39.56,30.69,0.8999999999999999
2017-01-06,30.799999999999997,39.1,25.73,0.9299999999999999
2017-01-07,33.599999999999994,45.54,25.419999999999998,0.75
2017-01-08,31.68,40.18,21.060000000000002,0.57
2017-01-09,28.380000000000003,34.03,17.68,0.84
2017-01-10,28.05,34.03,21.060000000000002,0.9299999999999999
2017-01-11,27.060000000000002,32.8,20.02,0.78
2017-01-12,25.41,32.8,18.46,0.75
2017-01-13,26.400000000000002,32.8,17.16,0.78
2017-01-14,30.360000000000003,37.72,20.54,1.3199999999999998
2017-01-15,28.48,38.129999999999995,19.78,6.0
2017-01-16,27.84,34.85,14.72,4.5
2017-01-17,26.560000000000002,33.21,14.030000000000001,3.06
2017-01-18,25.6,32.39,14.26,2.58
2017-01-19,25.28,32.8,12.190000000000001,1.92
2017-01-20,22.72,29.93,12.88,1.7999999999999998
2017-01-21,25.92,35.26,16.330000000000002,1.98
2017-01-22,26.35,34.71,14.52,3.0
2017-01-23,24.49,30.03,12.98,3.6500000000000004
2017-01-24,24.49,28.86,12.76,1.6
2017-01-25,24.18,28.080000000000002,12.540000000000001,1.9000000000000001
2017-01-26,24.49,28.86,13.2,1.9500000000000002
2017-01-27,22.63,29.64,12.540000000000001,2.2
2017-01-28,26.97,33.93,16.72,2.75
2017-01-29,27.59,33.82,14.28,1.6
2017-01-30,23.56,28.5,11.549999999999999,1.44
2017-01-31,26.04,28.88,12.389999999999999,1.24
2017-02-01,30.07,31.92,14.49,2.8000000000000003
2017-02-02,27.9,32.3,13.44,2.72
2017-02-03,26.97,33.44,12.389999999999999,2.6
2017-02-04,30.38,36.1,17.22,2.8000000000000003
2017-02-05,29.4,35.519999999999996,22.8,2.44
2017-02-06,24.9,29.6,16.08,2.64
2017-02-07,26.4,29.97,16.56,3.04
2017-02-08,26.4,30.34,17.52,2.8000000000000003
2017-02-09,26.099999999999998,31.82,18.0,2.6
2017-02-10,26.099999999999998,31.45,18.96,2.52
2017-02-11,29.099999999999998,36.26,22.08,2.36
2017-02-12,29.4,35.89,24.0,1.92
2017-02-13,26.7,30.34,19.68,3.0
2017-02-14,26.4,29.97,18.96,2.2199999999999998
2017-02-15,26.4,31.08,18.72,1.89
2017-02-16,25.5,28.86,17.52,1.8299999999999998
2017-02-17,25.8,31.08,17.759999999999998,2.13
2017-02-18,28.5,36.63,20.64,2.1
2017-02-19,31.0,36.1,18.27,2.04
2017-02-20,27.9,34.2,14.49,1.74
2017-02-21,26.66,33.06,14.07,1.5899999999999999
2017-02-22,26.97,33.06,14.28,1.74
2017-02-23,26.97,31.54,14.07,1.98
2017-02-24,28.21,32.3,15.33,1.8599999999999999
2017-02-25,30.07,38.0,17.009999999999998,1.8299999999999998
2017-02-26,28.13,37.24,16.15,1.6199999999999999
2017-02-27,24.939999999999998,30.78,12.35,1.89
2017-02-28,24.939999999999998,32.3,11.02,1.77
2017-03-01,23.2,29.26,15.96,2.1
2017-03-02,23.49,29.26,15.39,2.34
2017-03-03,22.91,28.5,15.01,2.58
2017-03-04,26.099999999999998,33.82,16.15,1.98
2017-03-05,27.9,34.71,16.72,2.37
2017-03-06,25.5,31.200000000000003,15.58,2.04
2017-03-07,24.3,29.64,14.44,1.7999999999999998
2017-03-08,24.0,30.03,13.68,2.07
2017-03-09,24.0,28.86,15.2,2.13
2017-03-10,24.0,30.03,14.82,1.8299999999999998
2017-03-11,26.099999999999998,35.88,17.48,1.98
2017-03-12,26.7,34.58,16.2,1.72
2017-03-13,25.5,29.26,14.219999999999999,1.42
2017-03-14,24.0,29.64,12.6,1.0
2017-03-15,24.0,28.88,12.42,1.18
2017-03-16,24.0,29.64,12.959999999999999,1.1400000000000001
2017-03-17,23.7,29.26,12.959999999999999,1.58
2017-03-18,26.7,33.82,15.479999999999999,1.26
2017-03-19,29.12,36.08,17.8,1.26
2017-03-20,26.560000000000002,31.569999999999997,14.600000000000001,1.4000000000000001
2017-03-21,32.0,37.309999999999995,15.8,1.46
2017-03-22,29.76,37.309999999999995,16.2,1.22
2017-03-23,27.2,35.26,15.600000000000001,1.4000000000000001
2017-03-24,28.8,36.08,16.0,1.3
2017-03-25,28.48,41.0,18.8,1.28
2017-03-26,30.72,41.58,21.0,1.7999999999999998
2017-03-27,27.84,36.96,18.9,2.46
2017-03-28,28.8,36.12,19.11,3.0
2017-03-29,27.2,34.44,18.27,2.28
2017-03-30,26.88,36.12,17.009999999999998,1.98
2017-03-31,26.560000000000002,36.54,17.009999999999998,1.92
2017-04-01,31.04,42.0,19.11,2.94
2017-04-02,30.0,39.0,20.9,2.61
2017-04-03,27.599999999999998,32.76,20.02,2.94
2017-04-04,27.599999999999998,32.76,20.68,2.52
2017-04-05,27.599999999999998,32.370000000000005,18.48,2.34
2017-04-06,26.7,32.370000000000005,17.82,2.19
2017-04-07,25.8,31.59,16.28,2.6399999999999997
2017-04-08,27.9,37.050000000000004,18.92,3.0
2017-04-09,27.9,37.050000000000004,19.0,2.9699999999999998
2017-04-10,27.599999999999998,33.54,15.8,2.46
2017-04-11,25.8,32.370000000000005,15.4,2.58
2017-04-12,26.4,32.370000000000005,16.0,2.55
2017-04-13,28.2,32.370000000000005,16.400000000000002,2.6399999999999997
2017-04-14,27.599999999999998,33.93,16.400000000000002,2.6399999999999997
2017-04-15,30.0,36.660000000000004,17.0,2.52
2017-04-16,28.2,34.96,18.0,2.4299999999999997
2017-04-17,27.599999999999998,32.68,15.4,2.37
2017-04-18,26.7,31.16,15.4,2.85
2017-04-19,25.5,30.78,16.2,2.37
2017-04-20,27.0,31.54,16.0,1.92
2017-04-21,26.099999999999998,32.68,15.4,2.79
2017-04-22,29.099999999999998,36.480000000000004,17.8,2.76
2017-04-23,28.799999999999997,37.83,21.0,1.7
2017-04-24,27.0,32.370000000000005,16.8,1.58
2017-04-25,25.8,31.98,15.54,1.46
2017-04-26,25.2,31.98,16.59,1.72
2017-04-27,25.2,31.200000000000003,17.43,1.4000000000000001
2017-04-28,25.8,30.810000000000002,14.91,1.72
2017-04-29,27.599999999999998,35.49,20.16,1.82
2017-04-30,29.4,34.96,21.12,1.3
2017-05-01,26.7,30.02,11.44,1.34
2017-05-02,27.599999999999998,29.26,11.22,2.0
2017-05-03,27.599999999999998,30.78,11.88,1.68
2017-05-04,26.099999999999998,30.78,12.540000000000001,1.6600000000000001
2017-05-05,25.2,30.78,11.88,1.34
2017-05-06,27.0,34.58,13.86,1.62
2017-05-07,30.07,36.800000000000004,18.98,1.58
2017-05-08,29.14,33.6,17.94,1.8800000000000001
2017-05-09,28.52,33.2,16.900000000000002,1.58
2017-05-10,27.59,32.0,16.900000000000002,1.68
2017-05-11,27.28,33.2,16.64,1.4000000000000001
2017-05-12,27.9,34.0,17.16,1.72
