,Unnamed: 0,date,open_apple,high_apple,low_apple,apple_price,apple_adj,volume_apple,divid,split coef,apple,iphone,apple_watch,airpods,wei_dyn_corr,dynamic_corr,apple_gen_trend,wei_apple_trend,weighted_apple_trend,diff_wei_trend
0,0,2018-01-03,172.53,174.55,171.96,172.23,166.324,28819653.0,0.0,1.0,38.22,46.41,43.0,7.92,0.505329086260735,0.512328835237651,135.55,31.45575,37.944,
1,1,2018-01-04,172.54,173.47,172.08,173.03,167.0966,22211345.0,0.0,1.0,38.64,44.88,38.27,6.8,0.503026781687657,0.5522279496584129,128.59,30.152,37.472249999999995,-1.3037499999999973
2,2,2018-01-05,173.44,175.37,173.05,175.0,168.99900000000005,23016177.0,0.0,1.0,39.9,45.9,35.26,6.5600000000000005,0.503326795427227,0.531928374442431,127.62,30.30125,38.25149999999999,0.14924999999999855
3,3,2018-01-08,174.35,175.61,173.93,174.35,168.3713,20134092.0,0.0,1.0,30.96,36.9,28.0,6.3000000000000025,0.527261249235637,0.5280534985605251,102.16,29.8395,30.076500000000003,-0.46174999999999855
4,4,2018-01-09,174.55,175.06,173.41,174.33,168.352,21262614.0,0.0,1.0,29.88,36.0,26.95,6.0900000000000025,0.3927893460831671,0.431716948436139,98.92,26.642,29.099999999999998,-3.1975000000000016
5,5,2018-01-10,173.16,174.3,173.0,174.29,168.3134,23589129.0,0.0,1.0,30.24,36.0,27.3,5.74,0.407841803638229,0.380837352643501,99.28,26.68775,29.333999999999996,0.045750000000001734
6,6,2018-01-11,174.59,175.4886,174.49,175.28,169.2694,17523256.0,0.0,1.0,29.16,35.55000000000001,24.85,5.670000000000001,0.479615840266961,0.369196321558699,95.23,25.709,28.353,-0.9787500000000016
7,7,2018-01-12,176.18,177.36,175.65,177.09,171.0174,25039531.0,0.0,1.0,28.44,35.55000000000001,24.15,5.74,0.48256223468229803,0.351423252094099,93.88,24.51725,27.837750000000003,-1.191749999999999
8,8,2018-01-16,177.9,179.39,176.14,176.19,170.1482,29159005.0,0.0,1.0,28.08,32.25,19.5,4.9700000000000015,0.490862980540648,0.34162887913848994,84.8,25.0655,26.537249999999997,0.5482499999999995
9,9,2018-01-17,176.15,179.25,175.07,179.1,172.9584,32752734.0,0.0,1.0,28.44,31.82,18.9,5.1800000000000015,0.43925289059996203,0.272158762565656,84.34,25.18775,26.656000000000002,0.12225000000000108
10,10,2018-01-18,179.37,180.1,178.25,179.26,173.113,30234512.0,0.0,1.0,30.96,31.82,17.7,5.670000000000001,0.481051397182433,0.244107322151446,86.15,24.381,28.240750000000002,-0.806750000000001
11,11,2018-01-19,178.61,179.58,177.41,178.46,172.3404,30827809.0,0.0,1.0,28.8,30.96,18.3,5.670000000000001,0.61198066660045,0.258673823238843,83.73,24.05025,26.70975,-0.3307500000000019
12,12,2018-01-22,177.3,177.78,176.6016,177.0,170.9305,26023683.0,0.0,1.0,27.65,32.76,18.6,5.3900000000000015,0.5154732503885571,0.24301321194635,84.4,21.855,26.32375,-2.195249999999998
13,13,2018-01-23,177.3,179.44,176.82,177.04,170.9691,31702531.0,0.0,1.0,28.35,31.92,20.1,5.32,0.489322965170873,0.249583017167233,85.69,23.17175,26.718000000000004,1.316749999999999
14,14,2018-01-24,177.25,177.3,173.2,174.22,168.2458,50562257.0,0.0,1.0,27.65,31.08,20.1,5.8100000000000005,0.5396041764845211,0.275032370797115,84.64,22.7675,26.13175,-0.4042500000000011
15,15,2018-01-25,174.505,174.95,170.53,171.11,165.2424,39661804.0,0.0,1.0,28.7,31.08,19.2,5.6000000000000005,0.493932824823851,0.27481064577595105,84.58,22.416,26.731000000000005,-0.3514999999999979
16,16,2018-01-26,172.0,172.0,170.06,171.51,165.6287,37121805.0,0.0,1.0,28.35,30.24,18.0,5.53,0.537632522158091,0.28173298874603997,82.12,22.82675,26.240250000000007,0.41075000000000017
17,17,2018-01-29,170.16,170.16,167.07,167.96,162.2004,48434424.0,0.0,1.0,26.86000000000001,29.6,17.01,5.670000000000001,0.509420833568526,0.26142469089390097,79.14,21.743,25.080000000000005,-1.083750000000002
18,18,2018-01-30,165.525,167.37,164.7,166.97,161.2444,45137026.0,0.0,1.0,26.86000000000001,28.8,16.200000000000006,5.250000000000001,0.378325034346712,0.213773685936739,77.11,21.98825,24.82775000000001,0.2452500000000022
19,19,2018-01-31,166.87,168.4417,166.5,167.43,161.6886,30984099.0,0.0,1.0,26.180000000000003,28.8,16.200000000000006,5.040000000000001,0.265643242433663,0.161112017833324,76.22,23.72425,24.370000000000005,1.7360000000000007
20,20,2018-02-01,167.165,168.62,166.76,167.78,162.0266,38099665.0,0.0,1.0,31.28,30.8,16.740000000000002,5.95,0.0310689545030278,0.10885167744640001,84.77,27.22625,28.19375,3.501999999999999
