,date,date.1,open_apple,high_apple,low_apple,apple_price,apple_adj,volume_apple,divid,split coef,apple,iphone,apple watch,airpods
842,2017-01-03,2017-01-03,115.8,116.33,114.76,116.15,110.3837,28781865.0,0.0,1.0,32.55,41.4,26.04,0.87
841,2017-01-04,2017-01-04,115.85,116.51,115.75,116.02,110.2601,21118116.0,0.0,1.0,30.8,40.94000000000001,25.11,0.8099999999999999
840,2017-01-05,2017-01-05,115.92,116.8642,115.81,116.61,110.8208,22193587.0,0.0,1.0,30.8,39.56,30.69,0.8999999999999999
839,2017-01-06,2017-01-06,116.78,118.16,116.47,117.91,112.0563,31751900.0,0.0,1.0,30.8,39.1,25.73,0.93
838,2017-01-09,2017-01-09,117.95,119.43,117.94,118.99,113.0827,33561948.0,0.0,1.0,28.38000000000001,34.03,17.68,0.84
837,2017-01-10,2017-01-10,118.77,119.38,118.3,119.11,113.1967,24462051.0,0.0,1.0,28.05,34.03,21.06,0.93
836,2017-01-11,2017-01-11,118.74,119.93,118.6,119.75,113.8049,27588593.0,0.0,1.0,27.06,32.8,20.02,0.78
835,2017-01-12,2017-01-12,118.895,119.3,118.21,119.25,113.3298,27086220.0,0.0,1.0,25.41,32.8,18.46,0.75
834,2017-01-13,2017-01-13,119.11,119.62,118.81,119.04,113.1302,26111948.0,0.0,1.0,26.4,32.8,17.16,0.78
833,2017-01-17,2017-01-17,118.34,120.24,118.22,120.0,114.0425,34439843.0,0.0,1.0,26.56,33.21,14.03,3.06
832,2017-01-18,2017-01-18,120.0,120.5,119.71,119.99,114.033,23712961.0,0.0,1.0,25.6,32.39,14.26,2.58
831,2017-01-19,2017-01-19,119.4,120.09,119.37,119.78,113.8334,25597291.0,0.0,1.0,25.28,32.8,12.19,1.92
830,2017-01-20,2017-01-20,120.45,120.45,119.7346,120.0,114.0425,32597892.0,0.0,1.0,22.72,29.93,12.88,1.7999999999999998
829,2017-01-23,2017-01-23,120.0,120.81,119.77,120.08,114.1186,22050218.0,0.0,1.0,24.49,30.03,12.98,3.65
828,2017-01-24,2017-01-24,119.55,120.1,119.5,119.97,114.014,23211038.0,0.0,1.0,24.49,28.86,12.76,1.6
827,2017-01-25,2017-01-25,120.42,122.1,120.28,121.88,115.8292,32586673.0,0.0,1.0,24.18,28.08,12.54,1.9
826,2017-01-26,2017-01-26,121.67,122.44,121.6,121.94,115.8862,26337576.0,0.0,1.0,24.49,28.86,13.2,1.95
825,2017-01-27,2017-01-27,122.14,122.35,121.6,121.95,115.8957,20562944.0,0.0,1.0,22.63,29.64,12.54,2.2
824,2017-01-30,2017-01-30,120.93,121.63,120.66,121.63,115.5916,30377503.0,0.0,1.0,23.56,28.5,11.55,1.44
823,2017-01-31,2017-01-31,121.15,121.39,120.62,121.35,115.3255,49200993.0,0.0,1.0,26.04,28.88,12.39,1.24
822,2017-02-01,2017-02-01,127.03,130.49,127.01,128.75,122.3581,111985040.0,0.0,1.0,30.07,31.92,14.49,2.8000000000000003
821,2017-02-02,2017-02-02,127.975,129.39,127.78,128.53,122.149,33710411.0,0.0,1.0,27.9,32.3,13.44,2.72
820,2017-02-03,2017-02-03,128.31,129.19,128.16,129.08,122.6717,24507301.0,0.0,1.0,26.97,33.44,12.39,2.6
819,2017-02-06,2017-02-06,129.13,130.5,128.9,130.29,123.8217,26845924.0,0.0,1.0,24.9,29.6,16.08,2.64
818,2017-02-07,2017-02-07,130.54,132.09,130.45,131.53,125.0001,38183841.0,0.0,1.0,26.4,29.97,16.56,3.04
817,2017-02-08,2017-02-08,131.35,132.22,131.22,132.04,125.4848,23004072.0,0.0,1.0,26.4,30.34,17.52,2.8000000000000003
816,2017-02-09,2017-02-09,131.65,132.445,131.12,132.42,126.3876,28349859.0,0.57,1.0,26.1,31.82,18.0,2.6
815,2017-02-10,2017-02-10,132.46,132.94,132.05,132.12,126.1013,20065458.0,0.0,1.0,26.1,31.45,18.96,2.52
814,2017-02-13,2017-02-13,133.08,133.82,132.75,133.29,127.218,23035421.0,0.0,1.0,26.7,30.34,19.68,3.0
