"","0.65 * apple_trend + 0.2 * iphone_trend + 0.075 * apple_watch_trend"
"1",31.45575
"2",30.152
"3",30.30125
"4",29.8395
"5",26.642
"6",26.68775
"7",25.709
"8",24.51725
"9",25.0655
"10",25.18775
"11",24.381
"12",24.05025
"13",21.855
"14",23.17175
"15",22.7675
"16",22.416
"17",22.82675
"18",21.743
"19",21.98825
"20",23.72425
"21",27.22625
"22",25.807
"23",25.34275
"24",23.509
"25",24.624
"26",24.752
"27",24.874
"28",24.866
"29",25.124
"30",24.7425
"31",24.92175
"32",23.79825
"33",24.47775
"34",25.1155
"35",25.344
"36",25.04225
"37",26.08575
"38",23.435
"39",23.63025
"40",22.2865
"41",22.45025
"42",21.91075
"43",24.1365
"44",22.941
"45",22.78725
"46",22.67175
"47",22.85475
"48",23.6
"49",22.548
"50",22.396
"51",22.5855
"52",22.3475
"53",24.778
"54",29.5565
"55",28.1125
"56",26.007
"57",27.2335
"58",27.09
"59",27.60225
"60",26.10925
"61",26.12025
"62",25.99175
"63",26.214
"64",26.232
"65",25.9755
"66",25.32975
"67",24.507
"68",26.0175
"69",24.5925
"70",25.02525
"71",26.232
"72",25.80875
"73",24.95575
"74",24.12375
"75",25.202
"76",24.86525
"77",25.4025
"78",24.441
"79",24.14925
"80",24.03225
"81",24.17925
"82",24.3175
"83",24.7835
"84",25.113
"85",24.186
"86",23.5275
"87",27.1475
"88",26.564
"89",25.727
"90",25.725
"91",26.351
"92",27.758
"93",26.828
"94",25.5525
"95",25.093
"96",24.689
"97",24.2895
"98",23.76
"99",23.835
"100",23.649
"101",24.4995
"102",24.6795
"103",23.1945
"104",19.475
"105",20.097
"106",32.373
"107",29.50875
"108",26.22825
"109",23.76825
"110",25.11375
"111",23.96025
"112",23.21625
"113",23.34075
"114",23.11425
"115",23.93925
"116",24.70925
"117",23.608
"118",22.867
"119",22.90125
"120",22.51575
"121",22.3165
"122",22.856
"123",22.2305
"124",22.7045
"125",22.287
"126",27.75325
"127",27.20475
"128",27.4645
"129",27.4125
"130",27.32
"131",28.331
"132",28.3935
"133",27.1885
"134",27.1395
"135",27.799
"136",26.9755
"137",27.5305
"138",26.6175
"139",26.857
"140",29.216
"141",28.861
"142",28.2145
"143",28.41675
"144",28.0545
"145",29.57775
"146",29.468
"147",29.8945
"148",29.1045
"149",28.79575
"150",29.234
"151",28.09425
"152",28.93375
"153",27.85475
"154",28.096
"155",28.497
"156",29.00325
"157",28.5075
"158",28.10325
"159",27.729
"160",26.696
"161",28.12125
"162",28.194
"163",27.8715
"164",27.645
"165",28.1905
"166",28.964
"167",27.751
"168",28.5865
"169",8.458
"170",7.964
"171",8.01575
"172",7.632
"173",7.66125
"174",17.33625
"175",62.52375
"176",42.72825
"177",26.52475
"178",28.465
"179",15.46
"180",14.9365
"181",16.1445
"182",15.445
"183",17.72225
"184",15.188
"185",14.754
"186",14.308
"187",13.945
"188",14.027
"189",27.606
"190",27.383
"191",27.9175
"192",27.9935
"193",28.5325
"194",27.862
"195",25.825
"196",25.96725
"197",25.41725
"198",25.87975
"199",26.0855
"200",25.12
"201",24.865
"202",24.9785
"203",25.247
"204",27.773
"205",27.0015
"206",26.8115
"207",28.2525
"208",39.02
"209",26.3085
"210",26.214
"211",19.356
"212",20.0205
"213",25.239
"214",23.86175
"215",24.341
"216",23.26175
"217",23.1325
"218",24.3655
"219",21.852
"220",21.331
"221",21.7905
"222",21.9455
"223",21.7285
"224",32.59825
"225",33.99075
"226",41.297
"227",52.1
"228",29.50375
"229",24.30875
"230",22.22775
"231",21.4695
"232",21.40775
"233",19.94875
"234",19.72175
"235",19.08575
"236",18.72225
"237",18.82825
"238",19.428
"239",19.577
"240",18.8245
