,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0.1,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply,wei_dyn_corr,wei_dollar_eur_gen_trend,diff_wei_trend,absdiiff
0,2017-12-22,0.8424,0.8458,0.8423,0.8427,355.0,16.5,14.3,37.35,2.6500000000000004,59.04,24.14,29.05,36.26,39.75,8.96,12.1,8.4,33.5,58.46,14.82,27.01,0.40164628029934896,21.4575,,
1,2017-12-25,0.8436,0.8445,0.8414,0.8421,358.0,9.36,7.79,16.77,2.5,40.6,17.689999999999994,40.74,29.75,33.15,0.0,11.4,7.15,19.74,53.29,19.32,15.98,0.524189888511868,15.8395,-5.617999999999999,0.056179999999999994
2,2017-12-26,0.8420000000000001,0.8439,0.8416,0.8429,359.0,11.04,12.73,33.54,4.95,49.7,18.27,37.8,37.4,40.29,0.0,10.64,7.28,34.309999999999995,64.24,0.0,23.8,0.6292375841347789,13.777999999999999,-2.0614999999999988,0.020614999999999988
3,2017-12-27,0.8429,0.8433,0.8395,0.8402,360.0,11.28,14.63,40.85,4.25,55.3,20.01,39.9,75.64999999999998,42.33,0.0,10.07,5.46,44.65,67.16,15.54,27.88000000000001,0.578172807598067,20.0075,6.2295,0.062294999999999996
4,2017-12-28,0.8402,0.8403,0.8358,0.8371,361.0,11.04,15.01,41.71,3.5500000000000003,55.3,17.11,36.12,85.0,40.8,0.0,10.26,7.67,46.06,65.7,15.54,29.58,0.548698771824369,20.0925,0.08500000000000085,0.0008500000000000085
5,2017-12-29,0.8374,0.8375,0.8313,0.8332,362.0,11.28,13.68,43.0,3.3000000000000003,53.9,17.98,38.64,58.65,41.31,0.0,9.31,6.24,37.6,61.32,23.1,27.20000000000001,0.587961861889235,21.958000000000002,1.8654999999999973,0.018654999999999974
6,2018-01-01,0.8334,0.8339,0.8320000000000001,0.8320000000000001,365.0,13.919999999999998,13.5,26.46,3.12,30.8,18.48,40.0,39.53,34.160000000000004,6.0,14.6,6.72,33.28,57.67,0.0,23.20000000000001,0.577444913624584,12.629000000000001,-9.329,0.09329000000000001
7,2018-01-02,0.8322,0.8326,0.8276,0.8291,366.0,18.85,21.25,47.04,5.76,59.29,84.0,34.0,52.93,39.76000000000001,5.25,14.8,11.04,60.16,75.05,32.9,37.2,0.648679534912391,30.180999999999997,17.552,0.17552
8,2018-01-03,0.8291,0.8328,0.8283,0.8322,367.0,18.85,22.5,49.0,4.8,67.76,82.32,29.6,52.93,35.84,5.1,15.4,9.44,62.72,75.05,21.15,39.6,0.353626175528328,27.976,-2.2050000000000023,0.022050000000000024
9,2018-01-04,0.8321,0.8328,0.8270000000000001,0.8282,368.0,23.78,22.75,43.61,3.84,67.76,48.72,30.8,50.25,36.96,0.0,15.0,9.28,62.72,75.05,26.32,37.6,0.392644475550851,30.8115,2.8355,0.028355
10,2018-01-05,0.8281,0.8316,0.8276,0.8311,369.0,21.75,21.75,47.04,3.96,68.53,34.44,37.2,52.26000000000001,36.40000000000001,0.0,15.0,8.16,55.68,72.68,16.45,35.2,0.312650904034455,27.19,-3.6214999999999975,0.036214999999999976
11,2018-01-08,0.8308,0.8361,0.8295,0.835,372.0,24.0,25.480000000000004,47.94,6.0,73.92,12.04,27.72,63.18,38.35,0.0,18.48,9.0,64.60000000000001,78.02,28.6,39.56,0.48388057608639395,33.213,6.023,0.06023
12,2018-01-09,0.835,0.8389,0.8347,0.8376,373.0,23.68,26.88000000000001,48.45,4.68,78.32000000000002,11.61,25.56,65.52,37.76,33.0,18.48,10.08,68.0,80.50999999999998,28.6,41.71,0.21357208448575105,34.0025,0.7894999999999968,0.007894999999999968
13,2018-01-10,0.8376,0.8384,0.8320000000000001,0.8365,374.0,26.24,27.44,48.96,4.08,88.0,12.04,25.92,71.76,43.07,33.0,19.36,12.42,64.60000000000001,82.17,14.52,42.14,0.08559288610806197,31.708000000000002,-2.2944999999999998,0.022944999999999997
14,2018-01-11,0.8366,0.8379,0.8291,0.8304,375.0,28.8,26.88000000000001,47.43,3.72,80.08,14.62,27.36,70.98,44.25,100.0,20.24,13.86,65.28,83.0,14.52,40.85,0.228434068593594,31.4395,-0.2684999999999995,0.002684999999999995
15,2018-01-12,0.8304,0.8309,0.8189,0.8193,376.0,24.0,23.520000000000003,47.43,3.24,70.4,12.47,30.96,68.64,40.71,56.0,19.14,13.5,57.12000000000001,78.02,14.52,40.85,0.265038307808768,28.0235,-3.4160000000000004,0.03416
16,2018-01-15,0.8192,0.8202,0.813,0.8151,379.0,21.45,22.41,41.65,4.2,62.16,8.74,32.3,57.76,48.3,18.55,16.72,8.25,61.64,73.8,0.0,37.41,0.568447122341412,21.4565,-6.567,0.06567
