date,date,open_dollar_eur,high_dollar_eur,low_dollar_eur,dollar_eur,Unnamed: 0,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply
2017-01-04,2017-01-04,0.9605,0.9622,0.9526,0.9533,3.0,19.32,25.38000000000001,46.06,5.1,79.89999999999998,34.32,46.06,58.4,34.32,25.48,19.55,8.3,28.8,76.63000000000002,0.0,39.9
2017-01-05,2017-01-05,0.9533,0.9537,0.9420000000000001,0.943,4.0,19.32,24.3,42.3,4.44,79.89999999999998,34.84,49.0,59.86,59.28,25.48,20.47,7.0,27.0,73.47,9.1,36.54
2017-01-06,2017-01-06,0.943,0.9498,0.9420000000000001,0.9494,5.0,18.76,22.41,39.95,4.02,69.7,36.92,44.59,53.29,78.0,26.0,20.93,6.1000000000000005,22.2,70.31,9.1,34.44
2017-01-09,2017-01-09,0.9491,0.9511,0.9443,0.9446,8.0,20.48,26.68,41.16,5.819999999999999,77.19,31.270000000000003,34.78,56.24,34.17,16.45,22.5,6.93,27.9,74.61999999999998,40.0,36.52
2017-01-10,2017-01-10,0.9446,0.9477,0.9411,0.9471,9.0,25.92,26.97,44.1,4.68,87.42,27.56,36.19,60.04,32.160000000000004,0.0,22.25,8.03,27.9,77.08,40.0,40.48
2017-01-11,2017-01-11,0.9470000000000001,0.9562,0.9412,0.9446,10.0,25.28,27.55,44.59,4.2,84.63000000000002,29.15,38.07,63.08,30.82,16.799999999999994,23.75,9.68,28.52,77.89999999999998,40.0,38.72
2017-01-12,2017-01-12,0.9446,0.9456,0.9357,0.9419,11.0,26.24,27.55,44.1,3.9,85.56,39.22,39.95,66.12,31.49,0.0,24.0,7.7,26.66,77.08,68.0,38.28
2017-01-13,2017-01-13,0.9421,0.9432,0.9374,0.9393,12.0,21.44,24.94,44.1,3.48,81.84,53.0,42.77,60.8,29.48,17.15,22.5,6.2700000000000005,24.8,73.8,0.0,36.96
2017-01-16,2017-01-16,0.9411,0.9448,0.94,0.9433,15.0,18.29,22.12,43.35,4.56,63.19,24.4,31.08,60.83,30.24,35.0,19.2,9.48,26.84,71.33999999999997,0.0,33.11
2017-01-17,2017-01-17,0.9433,0.9433,0.9328,0.9334,16.0,22.63,26.6,48.45,5.16,86.33,21.6,28.56,66.99,30.24,16.45,21.36,11.28,28.06,77.89999999999998,24.75,38.27
2017-01-18,2017-01-18,0.9333,0.9406,0.9332,0.9402,17.0,26.35,27.160000000000004,48.96,4.74,78.32000000000002,20.4,31.5,63.91,28.98,0.0,23.04,11.16,27.45,78.72,50.25,40.85
2017-01-19,2017-01-19,0.9402,0.9441,0.9363,0.9377,18.0,27.28,27.72,49.98,4.14,88.11,20.4,31.5,74.69,28.98,0.0,23.28,9.48,26.84,80.36,75.0,38.7
2017-01-20,2017-01-20,0.938,0.9408,0.9336,0.934,19.0,22.32,23.520000000000003,46.41,3.54,72.98,18.8,30.24,63.14,27.09,24.85,21.6,9.72,23.79,72.16,0.0,34.4
2017-01-23,2017-01-23,0.934,0.934,0.9281,0.9281,22.0,26.86000000000001,27.6,48.45,5.76,83.66,21.42,27.6,73.1,29.04000000000001,0.0,24.18,12.22,100.0,79.05,39.96,39.15
2017-01-24,2017-01-24,0.9279999999999999,0.9326,0.9279999999999999,0.9315,23.0,27.88000000000001,30.0,50.49,4.74,94.0,25.2,27.20000000000001,85.14,31.020000000000003,23.8,24.7,9.1,98.0,80.75,0.0,42.75
2017-01-25,2017-01-25,0.9316,0.9332,0.9284,0.93,24.0,24.48,28.8,46.92,4.2,93.06,23.94,24.8,79.98,33.660000000000004,15.98,24.96,10.66,69.0,82.45,27.0,39.6
2017-01-26,2017-01-26,0.93,0.938,0.9287,0.9361,25.0,28.56,27.9,43.86,3.9,90.24,25.62,26.8,86.0,36.3,15.98,25.74,12.22,57.0,84.14999999999998,23.76,37.8
