,date,crisis,job,loan,unemployment,default,suicide,killing,disorder,crime,usurer,war,uprising,hiring,work,usajob,apply
0,2017-01-01,11.48,12.420000000000002,23.5,3.66,35.7,42.12000000000001,36.75,43.07,28.86,31.200000000000006,17.71,6.0,13.2,54.510000000000005,0.0,21.419999999999998
1,2017-01-02,14.840000000000002,18.9,34.309999999999995,4.74,46.75,40.04,38.22,47.45,31.98,27.56,18.86,6.6000000000000005,23.4,65.57000000000001,9.620000000000001,29.82
2,2017-01-03,16.240000000000002,23.49,43.24,6.0,71.39999999999998,34.32,39.69,53.29,31.98,26.0,19.09,7.5,27.0,71.89,8.84,36.96
3,2017-01-04,19.32,25.380000000000006,46.06,5.1,79.89999999999998,34.32,46.06,58.4,34.32,25.48,19.55,8.3,28.799999999999997,76.63000000000001,0.0,39.9
4,2017-01-05,19.32,24.3,42.3,4.44,79.89999999999998,34.84,49.0,59.86,59.28,25.48,20.47,7.0,27.0,73.47,9.1,36.54
5,2017-01-06,18.76,22.41,39.95,4.02,69.7,36.92,44.59,53.29,78.0,26.0,20.93,6.1000000000000005,22.2,70.31,9.1,34.44
6,2017-01-07,14.000000000000002,17.55,34.309999999999995,2.1,46.75,40.04,43.61,51.83,47.58,0.0,18.630000000000006,6.2,19.8,64.78,10.4,28.14
7,2017-01-08,17.28,18.85,29.4,3.96,45.57,39.75,42.77,50.92,37.52,0.0,22.5,7.15,20.46,65.6,63.2,29.92
8,2017-01-09,20.48,26.68,41.16,5.8199999999999985,77.19,31.270000000000003,34.78,56.24,34.17,16.45,22.5,6.93,27.9,74.61999999999999,40.0,36.52
9,2017-01-10,25.92,26.97,44.1,4.68,87.42,27.56,36.19,60.04,32.160000000000004,0.0,22.25,8.03,27.9,77.08,40.0,40.48
10,2017-01-11,25.28,27.55,44.59,4.2,84.63000000000002,29.15,38.07,63.08,30.82,16.799999999999994,23.75,9.68,28.52,77.89999999999999,40.0,38.72
11,2017-01-12,26.24,27.55,44.1,3.9,85.56,39.22,39.95,66.12,31.49,0.0,24.0,7.7,26.66,77.08,68.0,38.28
12,2017-01-13,21.44,24.94,44.1,3.48,81.84,53.0,42.77,60.8,29.48,17.15,22.5,6.2700000000000005,24.8,73.8,0.0,36.96
13,2017-01-14,15.04,18.56,37.73,2.16,48.36,45.05,38.54,54.72,28.81,19.6,19.25,8.25,19.84,63.959999999999994,0.0,29.92
14,2017-01-15,15.19,17.92,33.15,3.84,45.39,28.8,34.86,48.51,30.24,19.6,18.96,9.0,18.91,62.31999999999999,29.25,27.95
15,2017-01-16,18.29,22.12,43.35,4.56,63.19,24.4,31.08,60.83,30.24,35.0,19.2,9.48,26.84,71.33999999999999,0.0,33.11
16,2017-01-17,22.63,26.6,48.45,5.16,86.33,21.6,28.56,66.99,30.24,16.45,21.36,11.28,28.06,77.89999999999999,24.75,38.269999999999996
17,2017-01-18,26.35,27.160000000000004,48.96,4.74,78.32000000000002,20.4,31.5,63.91,28.98,0.0,23.04,11.16,27.45,78.72,50.25,40.85
18,2017-01-19,27.28,27.72,49.98,4.14,88.11,20.4,31.5,74.69,28.98,0.0,23.28,9.48,26.84,80.36,75.0,38.7
19,2017-01-20,22.32,23.520000000000003,46.41,3.54,72.98,18.8,30.24,63.14,27.09,24.85,21.6,9.72,23.79,72.16,0.0,34.4
20,2017-01-21,15.19,18.48,43.86,3.6,53.4,20.4,31.92,58.52,23.94,0.0,18.24,8.28,20.74,64.78,29.25,29.669999999999998
21,2017-01-22,18.360000000000007,20.1,37.23,4.74,49.82,24.36,29.200000000000006,67.94,27.72,0.0,22.36,8.58,34.0,68.0,20.520000000000003,29.7
22,2017-01-23,26.860000000000007,27.6,48.45,5.76,83.66,21.42,27.6,73.1,29.040000000000006,0.0,24.18,12.22,100.0,79.05,39.96,39.15
23,2017-01-24,27.880000000000006,30.0,50.49,4.74,94.0,25.2,27.200000000000006,85.14,31.020000000000003,23.8,24.7,9.1,98.0,80.75,0.0,42.75
24,2017-01-25,24.48,28.8,46.92,4.2,93.06,23.94,24.8,79.98,33.660000000000004,15.98,24.96,10.66,69.0,82.45,27.0,39.6
25,2017-01-26,28.56,27.9,43.86,3.9,90.24,25.62,26.8,86.0,36.3,15.98,25.74,12.22,57.0,84.14999999999999,23.76,37.800000000000004
