date,hiring,work,usajob,apply
2017-01-01,13.2,54.510000000000005,0.0,21.419999999999998
2017-01-02,23.4,65.57000000000001,9.620000000000001,29.82
2017-01-03,27.0,71.89,8.84,36.96
2017-01-04,28.799999999999997,76.63000000000001,0.0,39.9
2017-01-05,27.0,73.47,9.1,36.54
2017-01-06,22.2,70.31,9.1,34.44
2017-01-07,19.8,64.78,10.4,28.14
2017-01-08,20.46,65.6,63.2,29.92
2017-01-09,27.9,74.61999999999999,40.0,36.52
2017-01-10,27.9,77.08,40.0,40.48
2017-01-11,28.52,77.89999999999999,40.0,38.72
2017-01-12,26.66,77.08,68.0,38.28
2017-01-13,24.8,73.8,0.0,36.96
2017-01-14,19.84,63.959999999999994,0.0,29.92
2017-01-15,18.91,62.31999999999999,29.25,27.95
2017-01-16,26.84,71.33999999999999,0.0,33.11
2017-01-17,28.06,77.89999999999999,24.75,38.269999999999996
2017-01-18,27.45,78.72,50.25,40.85
2017-01-19,26.84,80.36,75.0,38.7
2017-01-20,23.79,72.16,0.0,34.4
2017-01-21,20.74,64.78,29.25,29.669999999999998
2017-01-22,34.0,68.0,20.520000000000003,29.7
2017-01-23,100.0,79.05,39.96,39.15
2017-01-24,98.0,80.75,0.0,42.75
2017-01-25,69.0,82.45,27.0,39.6
2017-01-26,57.0,84.14999999999999,23.76,37.800000000000004
2017-01-27,45.0,77.35,18.36,37.800000000000004
2017-01-28,39.0,68.0,0.0,33.300000000000004
2017-01-29,24.14,68.03999999999999,0.0,34.78
2017-01-30,35.5,78.11999999999999,26.65,44.18
2017-01-31,40.47,84.0,19.68,47.0
2017-02-01,71.0,84.0,19.68,47.0
2017-02-02,58.93,83.16,20.09,42.3
2017-02-03,53.25,78.96,20.91,39.01
2017-02-04,44.019999999999996,68.88,0.0,34.309999999999995
2017-02-05,31.319999999999997,63.18000000000001,0.0,29.24
2017-02-06,42.919999999999995,76.14,24.91,36.12
2017-02-07,46.98,78.57000000000001,37.63,37.839999999999996
2017-02-08,48.72,78.57000000000001,25.970000000000002,38.269999999999996
2017-02-09,43.5,77.76,53.0,37.41
2017-02-10,38.279999999999994,73.71000000000001,26.5,37.839999999999996
2017-02-11,32.48,63.99,0.0,28.81
2017-02-12,31.32,65.60000000000001,0.0,29.4
2017-02-13,38.88,71.2,0.0,34.86
2017-02-14,34.02,72.0,31.36,33.18
2017-02-15,41.040000000000006,76.80000000000001,0.0,36.96
2017-02-16,37.800000000000004,78.4,15.36,36.12
2017-02-17,36.18,72.0,15.68,34.019999999999996
