"","crisis_trend + job_trend + loan_trend + unemploy_trend + default_trend + "
"1",237.56
"2",277.23
"3",319.65
"4",348.86
"5",373.24
"6",286.02
"7",327.79
"8",345.04
"9",347.37
"10",364.13
"11",257.9
"12",298.06
"13",336.56
"14",330.32
"15",352.8
"16",279.47
"17",343.49
"18",375.67
"19",359.84
"20",369.18
"21",309.94
"22",363.9
"23",371.04
"24",414.07
"25",401.53
"26",307.6
"27",353.24
"28",376.12
"29",386.46
"30",371.64
"31",319.86
"32",365.81
"33",358.56
"34",388.48
"35",391.2
"36",316.63
"37",378.02
"38",412.34
"39",401.83
"40",382.8
"41",318.72
"42",391.42
"43",399.34
"44",411.03
"45",394.65
"46",314.53
"47",389.56
"48",387.01
"49",390.95
"50",380.63
"51",283.18
"52",365.53
"53",352.4
"54",344.29
"55",343.51
"56",297.84
"57",382.06
"58",391.62
"59",395.31
"60",397.11
"61",314.83
"62",393.45
"63",409.38
"64",395.01
"65",394.03
"66",266.86
"67",337.38
"68",353.89
"69",344.29
"70",343.98
"71",275.14
"72",355.75
"73",365.68
"74",359.44
"75",336.34
"76",338.67
"77",480.37
"78",466.37
"79",441.82
"80",419.92
"81",314.72
"82",425.23
"83",409.88
"84",407.35
"85",402.55
"86",303.09
"87",422.18
"88",423.75
"89",411.53
"90",415.59
"91",295.98
"92",391.3
"93",382.16
"94",377.26
"95",368.52
"96",258.33
"97",350.36
"98",349.82
"99",341.67
"100",363.23
"101",270.95
"102",338.88
"103",346.94
"104",347.36
"105",333.32
"106",243.71
"107",267.93
"108",316.08
"109",322.3
"110",346.01
"111",293.06
"112",356.37
"113",375.88
"114",379.42
"115",362.75
"116",293.65
"117",356.19
"118",357.08
"119",373.12
"120",370.91
"121",286.15
"122",356.5
"123",364.64
"124",374.17
"125",358.22
"126",278.4
"127",350.42
"128",354.04
"129",344.28
"130",342.28
"131",257.03
"132",289.67
"133",248.13
"134",301.83
"135",323.1
"136",272.97
"137",347.88
"138",352.1
"139",347.39
"140",285.56
"141",348.78
"142",355.37
"143",355.14
"144",381.29
"145",287.07
"146",347.96
"147",354.48
"148",364.94
"149",365.63
"150",277.88
"151",337.05
"152",364.41
"153",381.63
"154",382.07
"155",290.78
"156",351.85
"157",371.08
"158",354.62
"159",366.92
"160",281.93
"161",328.17
"162",342.16
"163",348.83
"164",328.84
"165",247.17
"166",267.63
"167",310.91
"168",323.4
"169",312.13
"170",243.66
"171",320.38
"172",343.54
"173",340.37
"174",343.24
"175",246.85
"176",251.13
"177",303.22
"178",298.26
"179",302.15
"180",251.03
"181",332.31
"182",331.99
"183",346.71
"184",350.19
"185",260.97
"186",335.4
"187",354.39
"188",361.16
"189",345.7
"190",291.71
"191",385.55
"192",400.16
"193",418.08
"194",404.33
"195",282.74
"196",351.95
"197",368.89
"198",397.66
"199",366.14
"200",269.61
"201",334.08
"202",343.65
"203",348.19
"204",346.16
"205",271.18
"206",348.59
"207",364.47
"208",356.23
"209",349.97
"210",280.75
"211",371.63
"212",389.85
"213",385.38
"214",389.56
"215",280.66
"216",349.35
"217",358.64
"218",360.7
"219",361.73
"220",276.29
"221",361.77
"222",368.53
"223",361.51
"224",372.06
"225",283.02
"226",375.01
"227",383.83
"228",390.44
"229",242.94
"230",302.95
"231",300.79
"232",274.16
"233",199.46
"234",287.94
"235",354.12
"236",402.36
"237",426.56
"238",403.7
"239",304.15
"240",385.78
"241",389.89
"242",388.54
"243",378.79
"244",289.5
"245",367.68
"246",373.62
"247",365.08
"248",360.52
"249",241.26
"250",292.19
"251",305.5
"252",298.04
"253",298.99
"254",205.45
"255",198.35
"256",245.72
"257",304.2
"258",305.64
"259",270.57
"260",219.97
"261",362.88
"262",363.6
"263",328.47
"264",259.64
"265",318.63
"266",322.46
"267",347.51
"268",344.12
"269",250.59
"270",298.97
"271",331.59
"272",330.73
"273",355.8
"274",277.45
"275",347.86
"276",358.44
"277",380.16
"278",366.33
"279",299.32
"280",367.78
"281",368.12
"282",368.12
"283",374.93
"284",271.42
"285",324.69
"286",363.03
"287",357.82
"288",362.36
"289",282.42
"290",353.35
"291",362.48
"292",326.48
"293",372.87
"294",302.24
"295",345.41
