"","0.3 * crisis_trend + 0.3 * job_trend + 0.05 * loan_trend + 0.1 * "
"1",23.703
"2",25.921
"3",24.0485
"4",35.925
"5",38.814
"6",38.5415
"7",47.298
"8",24.303
"9",20.6095
"10",33.2495
"11",41.408
"12",50.31
"13",23.3705
"14",39.1145
"15",29.2885
"16",35.736
"17",35.283
"18",32.328
"19",38.077
"20",37.574
"21",37.651
"22",36.19
"23",36.202
"24",33.513
"25",39.282
"26",36.978
"27",41.973
"28",34.104
"29",26.942
"30",36.495
"31",29.624
"32",32.991
"33",31.424
"34",31.707
"35",38.697
"36",41.124
"37",33.405
"38",23.682
"39",35.026
"40",45.75
"41",36.2625
"42",28.257
"43",33.7535
"44",34.115
"45",37.739
"46",34.845
"47",34.343
"48",25.38
"49",30.864
"50",32.29
"51",25.398
"52",32.7025
"53",23.7655
"54",45.507
"55",46.399
"56",38.878
"57",38.43
"58",34.851
"59",37.039
"60",37.515
"61",43.108
"62",29.402
"63",44.823
"64",33.411
"65",32.267
"66",33.241
"67",27.907
"68",27.305
"69",31.915
"70",30.22
"71",34.257
"72",30.549
"73",26.863
"74",30.99
"75",36.1305
"76",31.7445
"77",32.6805
"78",29.6565
"79",34.102
"80",37.016
"81",36.92
"82",40.63
"83",34.126
"84",38.618
"85",38.821
"86",38.549
"87",50.431
"88",43.086
"89",34.842
"90",38.269
"91",35.669
"92",33.664
"93",31.96
"94",29.776
"95",30.7525
"96",30.1835
"97",25.8035
"98",27.345
"99",32.63
"100",32.685
"101",31.6135
"102",30.211
"103",39.536
"104",22.5945
"105",34.195
"106",23.178
"107",36.981
"108",36.139
"109",34.7095
"110",40.978
"111",44.462
"112",34.7445
"113",33.5235
"114",43.214
"115",32.402
"116",34.444
"117",34.454
"118",31.343
"119",34.363
"120",31.234
"121",31.287
"122",29.865
"123",31.684
"124",30.683
"125",31.22
"126",23.7715
"127",34.8595
"128",31.6505
"129",26.809
"130",22.588
"131",31.0555
"132",39.088
"133",22.6175
"134",31.965
"135",25.752
"136",37.244
"137",32.912
"138",38.605
"139",30.045
"140",31.261
"141",30.816
"142",34.956
"143",34.198
"144",32.48
"145",33.07
"146",41.275
"147",41.65
"148",35.175
"149",34.3035
"150",37.65
"151",35.511
"152",38.148
"153",23.2155
"154",33.157
"155",38.861
"156",35.148
"157",54.665
"158",43.863
"159",29.645
"160",30.027
"161",33.419
"162",35.372
"163",27.228
"164",25.301
"165",22.104
"166",34.173
"167",29.285
"168",20.589
"169",27.374
"170",38.158
"171",29.338
"172",34.446
"173",23.033
"174",16.573
"175",22.899
"176",22.893
"177",28.47
"178",26.517
"179",30.1235
"180",39.8285
"181",35.6055
"182",31.1305
"183",28.1415
"184",33.049
"185",26.613
"186",31.963
"187",25.739
"188",24.081
"189",27.7025
"190",36.6345
"191",29.9835
"192",49.9775
"193",32.3
"194",24.191
"195",28.3915
"196",30.37
"197",31.4475
"198",31.5895
"199",28.077
"200",29.7
"201",29.694
"202",24.048
"203",28.17
"204",30.501
"205",32.747
"206",25.543
"207",30.649
"208",35.566
"209",29.334
